,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,4.7322656,2024-04-18 01:29:38.236841,2024-04-18 01:42:28.312900,0 days 00:12:50.076059,tanh,0.0480619895014829,0.9,0.995,0.21904651073648015,-3.919627832191808,constant,0.9,256,small,False,False,True,0.9537224384367549,COMPLETE
1,1,105.042401,2024-04-18 01:29:38.238838,2024-04-18 01:42:49.871944,0 days 00:13:11.633106,tanh,1.0731549595569564e-08,0.92,0.995,0.00022106496619703157,0.5815325328714005,constant,0.9,1024,small,True,True,True,0.25668223139728086,COMPLETE
2,2,115.47680419999999,2024-04-18 01:29:38.239836,2024-04-18 01:42:43.481008,0 days 00:13:05.241172,relu,0.000688951450973076,1.0,0.95,0.9540063929169617,-3.4178315962078574,constant,2.0,512,small,True,False,False,0.6371223132944384,COMPLETE
3,3,57.9850114,2024-04-18 01:29:38.241836,2024-04-18 01:48:01.600756,0 days 00:18:23.358920,relu,1.328609320013769e-07,0.92,0.995,0.00022141475654789127,-3.409073982268685,linear,0.8,8,medium,False,True,True,0.6481189159204336,COMPLETE
4,4,130.55667039999997,2024-04-18 01:29:38.242828,2024-04-18 01:43:04.640545,0 days 00:13:26.397717,tanh,0.0010707360987108534,0.99,0.99,0.0012998556922007944,0.9812916837664876,linear,5.0,128,small,True,False,True,0.6759297401997882,COMPLETE
5,5,110.841329,2024-04-18 01:29:38.244822,2024-04-18 01:43:56.401605,0 days 00:14:18.156783,tanh,2.3328925946167167e-05,0.9,0.98,2.3919584513547148e-05,-0.6243213341289024,constant,0.7,32,small,False,False,False,0.053233010691337346,COMPLETE
6,6,108.7161829,2024-04-18 01:29:38.246817,2024-04-18 01:43:00.926402,0 days 00:13:22.679585,relu,0.012428183127717356,1.0,0.98,0.001507873218991529,0.8787114634176696,constant,0.7,2048,small,True,True,False,0.9379255421725547,COMPLETE
7,7,134.0134949,2024-04-18 01:29:38.249809,2024-04-18 01:43:00.676071,0 days 00:13:22.426262,tanh,0.00016502346882224208,0.8,0.9999,0.00019406587698792569,-3.217611367547831,linear,0.9,64,small,True,True,True,0.36954895311213065,COMPLETE
8,8,150.9395866,2024-04-18 01:42:28.314894,2024-04-18 01:59:10.070437,0 days 00:16:41.755543,tanh,0.05619438237365145,0.98,0.9999,3.2678235661821954e-05,-3.5447226157200387,constant,0.9,16,medium,False,False,False,0.21371104127662466,COMPLETE
9,9,130.92012649999998,2024-04-18 01:42:43.482005,2024-04-18 01:56:04.141883,0 days 00:13:20.659878,relu,0.04178516188039598,0.92,0.995,0.9901736443698399,0.9086930090116709,linear,0.5,512,small,True,False,True,0.516624506091036,COMPLETE
