,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,-2.7999167,2024-04-17 22:31:03.007940,2024-04-17 22:46:56.609807,0 days 00:15:53.601867,tanh,0.0001174564183767812,0.98,0.98,4.744334610542293e-05,-3.296701717541651,linear,0.8,16,small,True,True,False,0.49465201577005125,COMPLETE
1,1,7.6316919,2024-04-17 22:31:03.009942,2024-04-17 22:44:12.855762,0 days 00:13:09.845820,relu,3.2847689180138257e-07,0.95,0.9,0.00854549910545134,-3.0512565090226293,constant,0.7,512,medium,False,False,False,0.795010411942855,COMPLETE
2,2,52.504802299999994,2024-04-17 22:31:03.010999,2024-04-17 22:44:14.761664,0 days 00:13:11.750665,tanh,1.0882709321673472e-07,0.98,0.95,0.02700140439832433,0.03845596476098745,linear,1.0,512,small,False,False,False,0.9779488536910914,COMPLETE
3,3,46.4577181,2024-04-17 22:31:03.011997,2024-04-17 22:47:08.640692,0 days 00:16:05.628695,relu,0.00022187499207428112,0.99,0.9,5.9288111915967805e-05,-1.7162167603093805,constant,0.5,16,small,False,True,False,0.6678297931323175,COMPLETE
4,4,8.5856405,2024-04-17 22:31:03.014989,2024-04-17 22:49:11.873169,0 days 00:18:08.858180,relu,2.4960196181762497e-08,1.0,0.9999,0.9970349857388197,-1.9170747002100992,linear,0.7,8,small,False,True,True,0.6939436160833339,COMPLETE
5,5,-1.0760349000000005,2024-04-17 22:31:03.016984,2024-04-17 22:43:58.378739,0 days 00:12:55.361755,relu,1.8176010337531338e-05,0.98,0.999,6.697570675469848e-05,-1.5838587355399882,linear,2.0,128,small,True,True,True,0.6037298394003675,COMPLETE
6,6,6.5937073,2024-04-17 22:31:03.017981,2024-04-17 22:44:30.472641,0 days 00:13:27.454660,tanh,0.0001706449561414142,0.99,0.95,0.004704743848089331,-3.906026055429966,constant,0.7,2048,medium,True,False,True,0.6779584704449282,COMPLETE
7,7,85.1677569,2024-04-17 22:31:03.018978,2024-04-17 22:43:46.149423,0 days 00:12:43.130445,relu,0.07267167335635841,0.98,0.9,0.0046096737901630555,0.8412650478639199,constant,0.6,256,small,True,False,True,0.5159156529651973,COMPLETE
8,8,3.236239799999999,2024-04-17 22:43:46.151418,2024-04-17 22:57:29.608173,0 days 00:13:43.456755,tanh,4.6546663182600965e-07,1.0,0.9999,0.12685648479682626,-3.4951687999167156,linear,2.0,64,small,False,False,True,0.716072538143135,COMPLETE
9,9,46.69792579999999,2024-04-17 22:43:58.380733,2024-04-17 22:57:25.959932,0 days 00:13:27.579199,tanh,0.00014146160718395788,0.99,0.999,0.0016682164667068905,-3.144906020511785,constant,0.7,256,medium,False,True,True,0.8402566834058213,COMPLETE
10,10,60.208683799999996,2024-04-17 22:44:12.857757,2024-04-17 22:57:53.433702,0 days 00:13:40.575945,relu,3.8437725403171065e-08,0.9,0.9999,0.24745915422950143,-0.22023810903390695,constant,5.0,256,medium,False,True,False,0.09134500943883095,COMPLETE
11,11,7.872724,2024-04-17 22:44:14.762662,2024-04-17 22:58:08.000000,0 days 00:13:53.237338,tanh,1.9385457222260437e-08,0.92,0.999,0.05385117510351176,-3.6824264127992365,constant,1.0,256,medium,True,False,False,0.14839376335812393,PRUNED
12,12,7.814221100000002,2024-04-17 22:44:30.474636,2024-04-17 22:58:21.118959,0 days 00:13:50.644323,tanh,0.006348714252980446,0.8,0.95,0.004958313183902181,-1.810675322923268,constant,2.0,128,medium,True,False,True,0.40282183703707,PRUNED
13,13,-10.785208700000002,2024-04-17 22:46:56.610804,2024-04-17 23:06:07.879427,0 days 00:19:11.268623,tanh,0.01903006955410873,0.9,0.98,0.0001862632941995265,0.4094992733246636,linear,0.7,8,medium,True,True,True,0.4424280765403793,PRUNED
14,14,95.0628704,2024-04-17 22:47:08.640692,2024-04-17 23:01:07.231280,0 days 00:13:58.590588,relu,1.621251169762739e-07,0.92,0.95,0.18684913312013957,-1.5553022981414437,constant,5.0,1024,medium,True,False,False,0.9455049506074586,COMPLETE
