,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
23,23,123.41498470000002,2024-04-16 03:14:21.652708,2024-04-16 03:29:20.607836,0 days 00:14:58.955128,relu,0.009433143166860884,0.8,0.9999,0.0008623922637223256,-1.087395961985911,linear,0.5,256,medium,False,True,True,0.21741807987336298,COMPLETE
24,24,101.6374429,2024-04-16 03:18:44.767621,2024-04-16 03:33:48.338720,0 days 00:15:03.571099,relu,0.0001704261991282567,0.9,0.9999,0.0017208205745257775,0.8507811526203941,linear,0.6,1024,medium,False,True,True,0.24400296529713578,PRUNED
25,25,10.2585892,2024-04-16 03:27:05.026466,2024-04-16 03:41:49.681402,0 days 00:14:44.654936,relu,0.00010318814074546311,0.8,0.9,0.01717823877158225,-1.489459896848344,linear,0.6,512,medium,False,True,True,0.2484000015937911,PRUNED
26,26,133.081188,2024-04-16 03:27:12.468658,2024-04-16 03:42:34.568496,0 days 00:15:22.099838,tanh,0.069379136191888,1.0,0.999,0.0006756622009272379,-0.12412411404712059,linear,0.8,64,small,True,False,False,0.21543798002464737,COMPLETE
27,27,93.6635785,2024-04-16 03:27:30.667244,2024-04-16 03:42:33.410593,0 days 00:15:02.743349,relu,5.785633212086038e-07,1.0,0.95,0.0026877432746099,-0.14878518851200218,constant,0.6,1024,medium,False,True,True,0.027861920302711563,PRUNED
28,28,93.19418329999999,2024-04-16 03:28:51.922562,2024-04-16 03:44:42.305830,0 days 00:15:50.383268,tanh,2.3462773358146866e-05,0.92,0.999,0.00023126585289656715,-0.456632835246368,constant,0.6,64,medium,True,False,False,0.02690982599809609,PRUNED
29,29,147.9605674,2024-04-16 03:29:20.608833,2024-04-16 03:44:39.123342,0 days 00:15:18.514509,relu,4.706315077954246e-07,0.8,0.99,0.005195710087678467,0.28337538711532506,linear,0.6,1024,medium,False,True,True,0.2653820444711315,COMPLETE
30,30,64.5160172,2024-04-16 03:29:53.339287,2024-04-16 03:45:33.699082,0 days 00:15:40.359795,tanh,0.00035947036464807283,0.99,0.999,4.101434956194155e-05,0.2025467212716638,constant,0.9,64,medium,True,False,False,0.3161665560417648,PRUNED
31,31,128.7657912,2024-04-16 03:33:48.340715,2024-04-16 03:50:04.687436,0 days 00:16:16.346721,tanh,0.001505325010522121,0.92,0.999,4.793099692612309e-05,0.5778150044601703,constant,0.5,64,medium,True,False,False,0.19732314939791323,COMPLETE
32,32,70.33323599999999,2024-04-16 03:34:58.466167,2024-04-16 03:49:53.839452,0 days 00:14:55.373285,relu,8.946000808715427e-06,0.99,0.995,0.0059972720546719255,-1.9056461853317155,linear,0.6,1024,small,False,True,True,0.08201671015482401,PRUNED
33,33,120.8369154,2024-04-16 03:41:49.683397,2024-04-16 03:57:23.276316,0 days 00:15:33.592919,tanh,0.011822878766019127,0.92,0.999,1.9664933335306343e-05,0.026581526699931746,constant,1.0,64,medium,True,False,False,0.24670872103792918,COMPLETE
34,34,125.01629799999998,2024-04-16 03:42:33.412588,2024-04-16 03:58:24.412878,0 days 00:15:51.000290,relu,0.001592523548846689,0.9,0.999,1.8975069677995667e-05,-0.42931279634203956,constant,2.0,64,medium,True,False,False,0.05252391385425052,COMPLETE
35,35,113.2902071,2024-04-16 03:42:34.571488,2024-04-16 03:59:03.720739,0 days 00:16:29.149251,tanh,0.0024381829534429124,0.99,0.99,1.4832953888641679e-05,-0.004947052936553398,linear,0.8,32,medium,True,False,False,0.2577514546752706,PRUNED
36,36,143.5708578,2024-04-16 03:44:39.124340,2024-04-16 04:00:23.858531,0 days 00:15:44.734191,relu,0.00010697534418353786,0.92,0.95,2.7400604378830984e-05,-0.6079089851741089,constant,0.8,64,medium,True,False,True,0.0918608798610902,COMPLETE
37,37,131.99702570000002,2024-04-16 03:44:42.306827,2024-04-16 04:00:20.655099,0 days 00:15:38.348272,relu,0.01559364156849765,0.92,0.999,1.278187710668642e-05,0.9941000039157937,constant,1.0,64,medium,False,False,False,0.056178453566070805,COMPLETE
38,38,10.7283397,2024-04-16 03:45:33.701077,2024-04-16 04:00:07.990973,0 days 00:14:34.289896,relu,2.2840272102361806e-06,0.8,0.99,0.057448033394400834,0.10582531000908937,linear,0.9,1024,medium,False,True,True,0.1173363093401506,PRUNED
39,39,85.67372459999999,2024-04-16 03:49:53.840449,2024-04-16 04:06:19.557123,0 days 00:16:25.716674,tanh,1.284713171908323e-07,0.8,0.99,0.0009792444879182316,0.2892015280358776,linear,0.6,32,medium,False,True,True,0.2178678189612047,PRUNED
40,40,96.61857840000002,2024-04-16 03:50:04.688433,2024-04-16 04:05:08.135159,0 days 00:15:03.446726,relu,2.6360500701089708e-06,0.8,0.99,0.001760532451531036,0.3961713024441255,linear,0.3,1024,medium,False,True,True,0.3226859458848236,PRUNED
41,41,11.344285000000003,2024-04-16 03:57:23.279308,2024-04-16 04:11:50.134907,0 days 00:14:26.855599,relu,3.6741711987466606e-06,0.8,0.99,0.00815594301564795,-1.3903887644105222,linear,0.8,1024,medium,False,True,False,0.05709624595099588,PRUNED
42,42,4.5775008999999995,2024-04-16 03:58:24.414873,2024-04-16 04:13:06.977390,0 days 00:14:42.562517,relu,3.7559622477659333e-07,1.0,0.99,0.181133949444296,-0.7325867625317259,linear,0.3,1024,medium,False,True,True,0.27097802703810914,PRUNED
43,43,106.7115148,2024-04-16 03:59:03.722734,2024-04-16 04:18:35.227600,0 days 00:19:31.504866,relu,4.0878219163035926e-07,0.98,0.99,0.022115250247583727,-0.5889519839732087,linear,0.6,8,small,False,True,True,0.4626540151209051,PRUNED
44,44,162.3291331,2024-04-16 04:00:07.992967,2024-04-16 04:14:51.563329,0 days 00:14:43.570362,relu,1.220759336227781e-06,0.8,0.999,0.0005112772902337136,-0.11769192932845224,linear,1.0,128,medium,False,True,True,0.5224064427468316,COMPLETE
45,45,113.98202030000002,2024-04-16 04:00:20.657094,2024-04-16 04:14:49.933688,0 days 00:14:29.276594,relu,2.9263463155063866e-07,0.95,0.98,0.012875355180093967,-0.7386644754203076,linear,0.6,1024,medium,False,False,True,0.5135405055887409,PRUNED
46,46,101.5596917,2024-04-16 04:00:23.859528,2024-04-16 04:15:27.550214,0 days 00:15:03.690686,relu,0.004351767120117113,0.92,0.95,1.3732370640907924e-05,-1.1459047260077053,constant,0.8,128,medium,True,False,True,0.2687932391434366,PRUNED
47,47,111.15502919999999,2024-04-16 04:05:08.137154,2024-04-16 04:25:44.716410,0 days 00:20:36.579256,relu,1.496033532409194e-05,0.92,0.9,1.2333632359722811e-05,-0.3871779787717496,constant,2.0,8,medium,True,False,True,0.26812173667329975,PRUNED
48,48,120.1858197,2024-04-16 04:06:19.558120,2024-04-16 04:20:49.986330,0 days 00:14:30.428210,relu,0.0006302656976393432,0.92,0.9,2.402164865818252e-05,-1.0104710310717375,constant,0.8,1024,medium,True,False,True,0.06289222740805311,PRUNED
49,49,121.5914336,2024-04-16 04:11:50.134907,2024-04-16 04:28:31.449843,0 days 00:16:41.314936,relu,1.049375154170755e-05,0.92,0.95,1.7757725171041877e-05,-0.4888859198756307,constant,0.8,16,small,True,False,True,0.13862226948156425,PRUNED
50,50,100.4174837,2024-04-16 04:13:06.978388,2024-04-16 04:28:16.215500,0 days 00:15:09.237112,relu,0.0020790671102438214,0.92,0.95,0.0005175683815266724,-1.3653730598111293,constant,5.0,64,medium,True,False,True,0.23155236000070714,PRUNED
51,51,136.73688379999996,2024-04-16 04:14:49.934685,2024-04-16 04:29:54.990392,0 days 00:15:05.055707,relu,4.183634179394428e-05,0.92,0.95,9.34229577189851e-05,-1.3103212657929646,constant,0.3,64,medium,True,False,True,0.04365058341131651,COMPLETE
52,52,106.61837949999999,2024-04-16 04:14:51.565324,2024-04-16 04:32:02.803547,0 days 00:17:11.238223,relu,0.0036077649840227767,0.92,0.9999,4.6252551120707885e-05,-0.7033029698797651,constant,0.6,16,medium,True,False,True,0.0597566006777278,PRUNED
53,53,120.47122750000001,2024-04-16 04:15:27.550214,2024-04-16 04:30:23.018423,0 days 00:14:55.468209,relu,4.926266576762942e-06,0.8,0.999,0.0002307432737004989,-0.8290332785288832,linear,1.0,128,medium,False,True,True,0.674696251567078,PRUNED
54,54,133.62239340000002,2024-04-16 04:18:35.229595,2024-04-16 04:33:19.738737,0 days 00:14:44.509142,relu,6.523733633805511e-07,0.8,0.95,0.0004857992305180235,-0.36576202396369484,linear,0.5,128,medium,False,True,True,0.49122680210736164,COMPLETE
55,55,87.2467404,2024-04-16 04:20:49.990319,2024-04-16 04:35:57.502252,0 days 00:15:07.511933,relu,1.1359359106785624e-07,0.8,0.995,0.0007888855829186407,-1.6484682529045573,linear,1.0,128,medium,False,True,True,0.6484910388667794,PRUNED
56,56,36.413866,2024-04-16 04:25:44.717407,2024-04-16 04:41:07.239779,0 days 00:15:22.522372,relu,1.1721734386832188e-05,0.92,0.999,0.010424493012028937,0.17832293514238368,linear,1.0,128,medium,False,True,True,0.7192240894858156,PRUNED
57,57,144.8484636,2024-04-16 04:28:16.216498,2024-04-16 04:43:27.156608,0 days 00:15:10.940110,relu,1.4067526802350863e-06,0.92,0.999,0.02062351529356206,-0.7534542540978837,linear,2.0,128,medium,False,True,True,0.47064068158011374,COMPLETE
58,58,62.4186779,2024-04-16 04:28:31.450840,2024-04-16 04:43:20.546289,0 days 00:14:49.095449,relu,3.832940175855229e-05,1.0,0.999,0.0050262575256980555,-0.579544665925656,linear,2.0,128,medium,False,True,True,0.5136136191128711,PRUNED
59,59,103.44567729999999,2024-04-16 04:29:54.992386,2024-04-16 04:45:21.048029,0 days 00:15:26.055643,tanh,0.009634745055953683,1.0,0.98,1.138423278212131e-05,0.941645487936821,constant,0.8,64,medium,False,True,False,0.09684259742846718,PRUNED
60,60,50.15207299999999,2024-04-16 04:30:23.020418,2024-04-16 04:46:37.266163,0 days 00:16:14.245745,tanh,0.0009834832285336847,0.98,0.999,0.00590545145278967,-1.161173465835048,constant,5.0,32,small,True,False,False,0.0296905917713757,PRUNED
61,61,108.31953139999999,2024-04-16 04:32:02.805542,2024-04-16 04:47:03.055184,0 days 00:15:00.249642,tanh,1.831599067435843e-05,0.98,0.999,0.00010292524335008414,0.1447379859722122,constant,0.8,64,small,True,True,False,0.15231981934032746,PRUNED
