,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,,2024-04-15 09:45:18.683042,2024-04-15 09:53:05.588881,0 days 00:07:46.905839,tanh,5.074433253559516e-08,0.8,0.9999,0.7504245362142709,-1.031989250011565,linear,2.0,8,small,True,True,True,0.7122886995888619,PRUNED
1,1,-5.7910213,2024-04-15 09:45:18.685037,2024-04-15 10:06:26.062758,0 days 00:21:07.377721,tanh,2.930216913641465e-06,0.92,0.995,0.023576769987203434,-1.3305084566351368,constant,0.6,8,small,True,True,False,0.25617164711487084,COMPLETE
2,2,-28.0422643,2024-04-15 09:45:18.687087,2024-04-15 10:00:07.777060,0 days 00:14:49.089973,relu,4.3569015713706495e-05,0.9,0.99,1.577369900490754e-05,-3.0360224738990516,constant,2.0,2048,small,True,True,False,0.362756111399995,COMPLETE
3,3,54.185908700000006,2024-04-15 09:45:18.689096,2024-04-15 10:00:06.315560,0 days 00:14:47.626464,relu,6.905831440383714e-06,0.9,0.995,0.09208484294414739,-3.778288049734442,constant,0.5,256,medium,True,True,True,0.2866177797634344,COMPLETE
4,4,31.3325412,2024-04-15 09:45:18.690079,2024-04-15 10:00:16.932702,0 days 00:14:58.242623,relu,6.507866228785172e-07,0.99,0.98,2.4439097423205544e-05,-2.4588006715422104,constant,5.0,128,medium,False,True,True,0.13857002223739256,COMPLETE
5,5,5.8728962000000005,2024-04-15 09:45:18.692073,2024-04-15 10:00:16.889817,0 days 00:14:58.197744,relu,1.4039904347794291e-05,1.0,0.9,0.039452213486114225,-0.9948505215529968,linear,0.8,128,medium,False,False,False,0.18376649355081842,COMPLETE
6,6,65.614341,2024-04-15 09:45:18.695066,2024-04-15 10:00:14.147152,0 days 00:14:55.452086,tanh,1.951484616411779e-05,0.92,0.9,0.019573740092798282,-0.41811223431297684,linear,0.3,256,medium,True,False,False,0.7061571844937258,COMPLETE
7,7,103.6346212,2024-04-15 09:45:18.697644,2024-04-15 09:59:59.127786,0 days 00:14:40.430142,relu,0.0019165975942945753,0.98,0.99,0.0019700760871504902,-2.971211430285564,constant,5.0,512,medium,False,True,True,0.21087775928108243,COMPLETE
8,8,3.1888487999999997,2024-04-15 09:53:05.590875,2024-04-15 10:07:40.821355,0 days 00:14:35.230480,relu,1.1667333824971033e-06,1.0,0.95,0.003702432511728419,-3.2997226071766286,linear,5.0,1024,small,True,True,True,0.7810122715692254,COMPLETE
9,9,54.07938449999999,2024-04-15 09:59:59.129780,2024-04-15 10:14:40.294365,0 days 00:14:41.164585,tanh,0.0012641844459157293,0.92,0.999,0.004410202460766219,-0.3380765429632122,linear,5.0,64,small,False,False,True,0.18841867587326155,COMPLETE
10,10,83.3257954,2024-04-15 10:00:06.316558,2024-04-15 10:20:24.170288,0 days 00:20:17.853730,relu,0.00017430837377138778,0.8,0.9999,0.0013636487173974753,0.9247070270708972,linear,0.9,8,small,True,True,False,0.24474089271837352,COMPLETE
11,11,-2.380847799999999,2024-04-15 10:00:07.779054,2024-04-15 10:14:10.732436,0 days 00:14:02.953382,relu,1.835663782297358e-08,0.9,0.999,0.07800354941247827,-2.430755400340952,constant,2.0,256,small,True,True,False,0.1990764259423926,COMPLETE
12,12,76.4029864,2024-04-15 10:00:14.150144,2024-04-15 10:15:53.366603,0 days 00:15:39.216459,tanh,0.0850720076201136,0.99,0.9,3.560375681857926e-05,-0.31806506901204656,constant,0.6,32,medium,True,False,True,0.7301455237305093,COMPLETE
13,13,74.55129490000002,2024-04-15 10:00:16.891811,2024-04-15 10:21:03.335642,0 days 00:20:46.443831,tanh,1.0762492842710422e-05,0.95,0.99,0.007680041622086527,-1.6297330398959486,constant,2.0,8,medium,False,True,False,0.8126157046244884,COMPLETE
14,14,6.9639949,2024-04-15 10:00:16.934697,2024-04-15 10:14:59.416219,0 days 00:14:42.481522,tanh,3.1105565545499506e-08,0.92,0.9999,0.0029990981789137098,-2.358512473961706,linear,0.6,64,medium,False,True,True,0.3194874552159942,PRUNED
15,15,10.214642000000001,2024-04-15 10:06:26.063756,2024-04-15 10:26:53.838635,0 days 00:20:27.774879,tanh,0.05276398314063109,0.98,0.999,0.02240738535706764,-1.005440622450399,constant,0.7,8,medium,False,False,False,0.5389592603545357,PRUNED
16,16,3.9390007000000002,2024-04-15 10:07:40.822352,2024-04-15 10:22:20.835766,0 days 00:14:40.013414,relu,3.237364022893681e-07,1.0,0.99,0.3050049766426659,-3.635118106044583,constant,0.3,64,medium,False,False,False,0.11629832151381503,PRUNED
17,17,22.779694699999997,2024-04-15 10:14:10.734431,2024-04-15 10:34:41.280616,0 days 00:20:30.546185,relu,0.06703380601817505,0.98,0.999,0.015380178402684923,-1.661845694671382,constant,5.0,8,medium,False,True,False,0.37319036748814327,PRUNED
