,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
10,10,5.5502211,2024-04-18 08:17:10.779805,2024-04-18 08:25:32.427010,0 days 00:08:21.647205,relu,256,0.2,0.00039225248230759143,0.8,0.98,0.1276342359189323,-1.77273978907993,0.8,1,1024,medium,8,0.5447682754999817,COMPLETE
11,11,43.766927900000006,2024-04-18 08:21:01.113004,2024-04-18 08:41:22.943432,0 days 00:20:21.830428,tanh,32,0.2,3.900671071832473e-06,0.95,0.999,0.0011654087333152227,-3.108303990789422,5.0,10,128,medium,32,0.8698673718298823,PRUNED
12,12,9.6912533,2024-04-18 08:25:08.405202,2024-04-18 08:37:28.084145,0 days 00:12:19.678943,tanh,128,0.1,0.0006569342066021308,0.9,0.999,0.0023590525016373267,-3.9534995300208227,2.0,20,2048,tiny,16,0.8678733245544297,PRUNED
13,13,87.1664858,2024-04-18 08:25:32.429005,2024-04-18 09:12:02.874297,0 days 00:46:30.445292,tanh,16,0.2,0.00014016970867309996,0.99,0.95,0.002344898515416224,-1.8722910212612525,0.8,20,2048,small,64,0.09103286690021606,PRUNED
14,14,141.7153672,2024-04-18 08:27:46.447577,2024-04-18 08:50:26.523265,0 days 00:22:40.075688,relu,64,0.2,0.0072714427762312515,0.9,0.995,0.015452272322195364,0.49176451773973806,0.5,20,64,medium,16,0.7617049842058283,COMPLETE
15,15,3.915289,2024-04-18 08:28:23.209248,2024-04-18 08:39:01.499549,0 days 00:10:38.290301,tanh,128,0.2,1.921351167460822e-05,0.92,0.99,0.10320980131776498,0.2736913616119656,1.0,10,1024,tiny,128,0.4164462552888465,PRUNED
16,16,25.855019699999996,2024-04-18 08:28:40.652591,2024-04-18 08:43:47.560653,0 days 00:15:06.908062,tanh,512,0.3,1.2096386948270461e-06,0.95,0.9999,0.00014436300850775754,-0.36081153493189966,0.3,5,32,small,8,0.5808582309215063,PRUNED
17,17,127.73185469999999,2024-04-18 08:32:32.072621,2024-04-18 08:42:26.302001,0 days 00:09:54.229380,tanh,256,0.4,0.00014236291330617482,0.99,0.95,0.0018379532763676623,0.2833689064416416,0.7,10,256,tiny,256,0.42229636791233327,COMPLETE
18,18,121.1989137,2024-04-18 08:33:10.818012,2024-04-18 08:58:07.533633,0 days 00:24:56.715621,tanh,16,0.1,2.881560706202199e-06,0.9,0.98,0.0005223439094425916,-0.7399286474724311,0.5,10,256,tiny,128,0.5394514746284955,PRUNED
19,19,112.606764,2024-04-18 08:37:28.085142,2024-04-18 08:50:37.317393,0 days 00:13:09.232251,tanh,64,0.4,1.998818041614454e-05,0.98,0.98,0.012100904217621354,0.2364693052726401,2.0,10,64,tiny,256,0.2940873410577121,PRUNED
20,20,8.9021747,2024-04-18 08:39:01.500547,2024-04-18 08:55:36.974195,0 days 00:16:35.473648,tanh,256,0.3,8.714938888845081e-05,0.99,0.98,0.006332118890618508,-1.4997099312025648,2.0,10,32,tiny,256,0.6734184168468305,PRUNED
21,21,116.84495489999999,2024-04-18 08:41:22.944429,2024-04-18 09:01:29.582682,0 days 00:20:06.638253,relu,16,0.4,6.314850130964182e-08,0.8,0.995,0.009588104395535495,-0.24802094433694677,0.3,5,16,medium,32,0.19760075907758856,PRUNED
22,22,140.7336168,2024-04-18 08:42:26.302998,2024-04-18 08:56:53.512619,0 days 00:14:27.209621,relu,512,0.4,1.0035351189447483e-08,0.92,0.995,0.11044555874323445,0.21277840244217272,0.7,10,64,medium,32,0.2499923069613634,COMPLETE
23,23,80.9617256,2024-04-18 08:43:47.562648,2024-04-18 08:54:14.106845,0 days 00:10:26.544197,relu,512,0.4,1.3704337819975216e-08,1.0,0.999,0.00483229367479844,0.5344720617263075,0.8,10,256,medium,32,0.2175092305680965,PRUNED
24,24,71.91200319999999,2024-04-18 08:50:26.524262,2024-04-18 09:42:16.182287,0 days 00:51:49.658025,relu,64,0.2,0.06608706272079587,0.9,0.995,0.0017568308461634724,-0.4512453612564322,5.0,20,16,medium,16,0.8007131860449949,PRUNED
25,25,57.72677369999999,2024-04-18 08:50:37.318391,2024-04-18 09:19:56.845705,0 days 00:29:19.527314,relu,32,0.2,0.03474450778636315,0.9,0.995,0.005658179665989717,-1.0430303870462496,0.5,20,1024,medium,8,0.8008907263170781,PRUNED
26,26,,2024-04-18 08:54:14.106845,2024-04-18 08:59:15.763136,0 days 00:05:01.656291,relu,64,0.2,0.001970263800011688,0.95,0.995,0.40089348055702234,0.7912396540043565,5.0,5,8,medium,16,0.8210429765971616,PRUNED
27,27,138.50228399999997,2024-04-18 08:55:36.975192,2024-04-18 09:24:46.134039,0 days 00:29:09.158847,relu,64,0.2,1.5758328299718235e-05,0.99,0.9,0.009351836734465444,0.5018171591644783,0.5,20,32,medium,16,0.5927324822801805,COMPLETE
28,28,9.411594099999999,2024-04-18 08:56:53.514613,2024-04-18 09:05:47.925839,0 days 00:08:54.411226,relu,16,0.2,0.046404169895659396,0.9,0.995,0.10934047308554466,0.07183399820177816,0.5,1,64,medium,16,0.7330778762258041,PRUNED
29,29,143.1165017,2024-04-18 08:58:07.534631,2024-04-18 10:28:38.706725,0 days 01:30:31.172094,relu,8,0.2,0.00024108883849750963,0.9,0.995,0.00014752288867935238,-0.3517415628281648,0.5,20,1024,medium,16,0.8675545809324279,COMPLETE
30,30,151.9178628,2024-04-18 08:59:15.764133,2024-04-18 09:16:52.670330,0 days 00:17:36.906197,relu,256,0.2,0.0022356719534921228,0.9,0.9,0.00031834756231509875,0.07229659504086416,0.5,20,64,medium,16,0.7682586907103804,COMPLETE
31,31,89.68070420000001,2024-04-18 09:01:29.583680,2024-04-18 09:14:13.385378,0 days 00:12:43.801698,relu,512,0.1,0.07642819563692929,0.9,0.995,0.00878687511008113,-0.015184539256410945,0.6,20,128,medium,16,0.5737189302211197,PRUNED
32,32,154.749166,2024-04-18 09:05:47.926836,2024-04-18 09:15:21.298726,0 days 00:09:33.371890,relu,512,0.1,8.465453987589151e-06,0.92,0.9999,0.3307920360192857,-0.4622348485819573,0.7,10,64,tiny,32,0.39800415453954036,COMPLETE
33,33,,2024-04-18 09:12:02.875294,2024-04-18 09:13:53.621242,0 days 00:01:50.745948,tanh,64,0.2,1.7569787114156806e-05,0.9,0.995,0.9221673427139487,0.9562080215454257,2.0,20,64,medium,16,0.5855849756964393,PRUNED
34,34,10.6790649,2024-04-18 09:13:53.622240,2024-04-18 09:32:45.450010,0 days 00:18:51.827770,relu,32,0.4,3.270856637333445e-08,0.92,0.995,0.23575086920341365,-0.9908052711078027,0.7,10,64,medium,-1,0.24145403851846223,PRUNED
35,35,161.64143629999998,2024-04-18 09:14:13.387373,2024-04-18 09:58:17.771600,0 days 00:44:04.384227,relu,8,0.4,8.206579001314612e-08,0.92,0.995,0.018128990841698937,0.6194066939233169,0.7,10,64,small,32,0.21244721713268644,COMPLETE
36,36,83.0181183,2024-04-18 09:15:21.299724,2024-04-18 09:27:03.168505,0 days 00:11:41.868781,relu,512,0.1,1.2028665170461398e-05,0.9,0.9999,0.033362691116657205,0.93328660289065,0.7,10,64,small,256,0.5350096017292493,PRUNED
37,37,125.3526973,2024-04-18 09:16:52.671327,2024-04-18 09:24:31.618864,0 days 00:07:38.947537,relu,512,0.1,1.2304109415037275e-05,0.92,0.9999,0.0012223371390181368,-0.4677858409427006,0.7,10,2048,tiny,32,0.4094142164331878,COMPLETE
38,38,40.173773499999996,2024-04-18 09:19:56.847700,2024-04-18 09:41:39.125405,0 days 00:21:42.277705,tanh,16,0.1,1.1955279349317053e-05,0.92,0.9999,0.3493036654993806,-0.2702355397561581,0.7,10,16,tiny,16,0.3471588388739983,PRUNED
39,39,125.1643906,2024-04-18 09:24:31.619861,2024-04-18 09:43:21.609583,0 days 00:18:49.989722,relu,64,0.2,0.024213798048260713,0.92,0.98,0.0015283941339729317,-0.4322780611227114,0.8,20,64,medium,16,0.5954450892344354,PRUNED
40,40,50.5595657,2024-04-18 09:24:46.135037,2024-04-18 09:35:04.139669,0 days 00:10:18.004632,relu,512,0.1,4.659404033944533e-05,0.9,0.9999,0.13792184555637824,0.18006872218479042,1.0,10,64,tiny,-1,0.18686688079561448,PRUNED
41,41,133.2903585,2024-04-18 09:27:03.170500,2024-04-18 09:45:18.754336,0 days 00:18:15.583836,relu,256,0.4,0.004977924543644957,0.92,0.9,0.0005058654284765304,0.096625535669312,5.0,20,64,medium,-1,0.8896751417848936,COMPLETE
42,42,121.2227547,2024-04-18 09:32:45.451007,2024-04-18 09:40:33.745172,0 days 00:07:48.294165,tanh,256,0.4,4.11725099259267e-06,0.98,0.98,0.041225238665585556,-1.6688943085478931,0.5,10,256,tiny,256,0.37556957351787856,PRUNED
43,43,65.2836958,2024-04-18 09:35:04.141664,2024-04-18 09:53:38.305644,0 days 00:18:34.163980,relu,256,0.4,0.022980152236925178,0.95,0.995,0.0035051537239415616,0.4810232405503853,2.0,20,64,medium,16,0.9002632815022459,PRUNED
44,44,156.681657,2024-04-18 09:40:33.747166,2024-04-18 10:06:17.238731,0 days 00:25:43.491565,relu,256,0.1,0.003324679105728497,0.9,0.9,0.005125782940326379,0.4903917231747296,0.5,20,32,small,16,0.8719138589511818,COMPLETE
45,45,107.60764079999998,2024-04-18 09:41:39.126402,2024-04-18 09:59:28.671959,0 days 00:17:49.545557,relu,256,0.4,0.00039105618248671495,0.92,0.9,5.4677131117741087e-05,0.9959948365522899,0.7,20,64,medium,64,0.6536586353772404,PRUNED
46,46,80.6015368,2024-04-18 09:42:16.183284,2024-04-18 09:54:39.275605,0 days 00:12:23.092321,relu,256,0.2,4.7979295645160143e-05,0.9,0.999,0.00012979209473161474,-0.3128483896370074,0.5,10,64,medium,16,0.9493097680793128,PRUNED
47,47,153.0388308,2024-04-18 09:43:21.610581,2024-04-18 09:56:30.372522,0 days 00:13:08.761941,relu,256,0.2,0.0007443234411656481,0.8,0.999,0.002871059096410398,-0.282950189102429,0.5,10,64,medium,16,0.3468393885024852,COMPLETE
48,48,93.57090080000002,2024-04-18 09:45:18.757328,2024-04-18 10:21:57.520311,0 days 00:36:38.762983,relu,8,0.4,0.00038724622491546353,0.92,0.98,0.09979226872409036,0.12194641076004631,0.7,10,64,tiny,32,0.5861930900012087,PRUNED
49,49,83.3020961,2024-04-18 09:53:38.306641,2024-04-18 10:10:08.051390,0 days 00:16:29.744749,relu,64,0.2,0.0003690408366201348,0.9,0.9999,0.01014283249914439,-0.22434488512423334,0.5,20,64,small,-1,0.7562523755743041,PRUNED
50,50,,2024-04-18 09:54:39.276603,2024-04-18 10:11:48.169598,0 days 00:17:08.892995,tanh,512,0.4,8.456912878580617e-08,0.92,0.995,0.2268999290157429,-0.32071783182109115,0.6,20,64,medium,32,0.03496189671838312,PRUNED
51,51,4.3573268,2024-04-18 09:56:30.373519,2024-04-18 10:06:47.156708,0 days 00:10:16.783189,relu,512,0.1,6.160091815388972e-06,0.98,0.9,0.07228991149019792,-1.6101574654649355,0.7,10,64,tiny,64,0.3550118217261665,PRUNED
52,52,119.0251312,2024-04-18 09:58:17.772597,2024-04-18 10:41:35.507634,0 days 00:43:17.735037,relu,8,0.4,3.220060624250668e-07,1.0,0.95,0.0047503411057863995,0.9977730091045716,0.7,10,128,small,32,0.22975958084038628,PRUNED
53,53,145.019354,2024-04-18 09:59:28.673953,2024-04-18 10:42:26.752567,0 days 00:42:58.078614,relu,8,0.3,1.7099125666378594e-06,0.98,0.99,0.015221363005594481,-0.3953871014234325,0.7,10,64,small,32,0.22847089191853875,COMPLETE
54,54,148.63537519999997,2024-04-18 10:06:17.239728,2024-04-18 10:15:38.772273,0 days 00:09:21.532545,relu,512,0.2,0.004311251081663829,0.8,0.999,0.002218966961168313,-0.2759278119864266,0.5,10,2048,medium,16,0.30239861031647375,COMPLETE
55,55,149.2739127,2024-04-18 10:06:47.157705,2024-04-18 10:16:05.909686,0 days 00:09:18.751981,relu,256,0.1,0.00015083818973024894,0.9,0.98,0.08875263109382482,0.7560795528228619,0.5,1,32,small,16,0.7476905141068237,COMPLETE
56,56,170.9176158,2024-04-18 10:10:08.052387,2024-04-18 10:34:59.112781,0 days 00:24:51.060394,tanh,256,0.1,0.08619556719147366,0.9,0.9,0.002251421345148747,-0.5889852267740454,1.0,20,32,small,16,0.8702702092284076,COMPLETE
57,57,144.33314339999998,2024-04-18 10:11:48.171592,2024-04-18 10:21:42.014687,0 days 00:09:53.843095,relu,256,0.1,0.0004375560519749265,0.9,0.9,0.00881465449490973,0.01865112785589046,5.0,20,512,small,16,0.7538323795671613,COMPLETE
58,58,130.64740919999997,2024-04-18 10:15:38.774267,2024-04-18 10:28:16.310422,0 days 00:12:37.536155,relu,256,0.1,0.0003097196938210726,0.95,0.999,0.004216213287164503,-0.3815518383983176,0.8,10,64,medium,8,0.3169409967443084,PRUNED
59,59,148.88842140000003,2024-04-18 10:16:05.911681,2024-04-18 10:40:02.009719,0 days 00:23:56.098038,relu,8,0.4,6.782901803275999e-06,1.0,0.95,0.0018305127084935762,0.16381255754444535,0.7,5,64,small,32,0.19544008916506364,COMPLETE
60,60,27.2171442,2024-04-18 10:21:42.015684,2024-04-18 11:06:18.334670,0 days 00:44:36.318986,relu,8,0.2,1.416235116315454e-06,0.99,0.99,0.001989132168528026,0.19823523694660738,0.7,10,64,small,32,0.30815410014732036,PRUNED
61,61,,2024-04-18 10:21:57.521309,2024-04-18 10:26:40.639319,0 days 00:04:43.118010,relu,512,0.1,1.1821239971192019e-05,0.92,0.9999,0.7248993139259414,0.4258205991972005,0.7,10,64,tiny,32,0.476619253692604,PRUNED
62,62,126.30386069999997,2024-04-18 10:26:40.640317,2024-04-18 10:50:50.137386,0 days 00:24:09.497069,tanh,256,0.1,0.04374293439100338,0.9,0.9,0.026771511187408423,-0.5482532199829409,0.5,20,32,small,64,0.899569449702892,PRUNED
63,63,88.320102,2024-04-18 10:28:16.311420,2024-04-18 10:52:54.008063,0 days 00:24:37.696643,relu,128,0.1,0.06794040243452816,0.9,0.9,2.844152258753951e-05,0.12239694166107629,0.5,20,32,small,256,0.8811994387283322,PRUNED
64,64,25.7191396,2024-04-18 10:28:38.707722,2024-04-18 10:44:48.569336,0 days 00:16:09.861614,tanh,256,0.4,0.0009506378656283576,0.9,0.9,0.0011973878115159456,-0.5450659408795944,0.5,20,64,medium,16,0.704777727535325,PRUNED
65,65,149.11407319999998,2024-04-18 10:34:59.113778,2024-04-18 11:00:56.755517,0 days 00:25:57.641739,tanh,512,0.1,0.0036687341093220253,0.9,0.9,0.0005622272354801314,-0.5407333689144244,2.0,20,32,small,64,0.9308344308848332,COMPLETE
66,66,137.75385889999998,2024-04-18 10:40:02.010716,2024-04-18 10:58:19.354962,0 days 00:18:17.344246,tanh,256,0.1,0.009684143962252293,0.9,0.9,0.003078078433783536,-0.29961522946012725,0.3,10,32,medium,256,0.7941623697874575,PRUNED
67,67,46.9508252,2024-04-18 10:41:35.508632,2024-04-18 11:30:43.266692,0 days 00:49:07.758060,relu,8,0.2,7.624670522035158e-07,0.98,0.995,0.18460566113068466,0.004280223689179352,0.7,10,64,small,256,0.13611885800964288,PRUNED
68,68,166.79265589999997,2024-04-18 10:42:26.753564,2024-04-18 10:52:16.020670,0 days 00:09:49.267106,tanh,256,0.1,0.03744215895335814,0.9,0.9,7.342306603265717e-05,0.07379473851171825,0.6,20,256,small,-1,0.8724230647438208,COMPLETE
69,69,,2024-04-18 10:44:48.570333,2024-04-18 10:58:29.712325,0 days 00:13:41.141992,tanh,256,0.1,0.0696852139305627,0.9,0.99,0.07833232319909487,0.09431989494478121,1.0,20,32,small,8,0.7994580402535071,PRUNED
70,70,133.75301589999998,2024-04-18 10:50:50.138384,2024-04-18 11:16:49.497268,0 days 00:25:59.358884,relu,32,0.2,0.0003242716469287919,0.9,0.9,2.8298479080729985e-05,0.36944538148111544,0.7,20,64,tiny,16,0.9365875118633191,PRUNED
71,71,104.74626070000002,2024-04-18 10:52:16.021667,2024-04-18 11:03:11.741252,0 days 00:10:55.719585,tanh,256,0.1,0.03136742190698844,0.9,0.9,1.0473480215804677e-05,0.957092075876747,0.6,20,256,small,-1,0.9223530736783108,PRUNED
72,72,162.6209538,2024-04-18 10:52:54.009060,2024-04-18 11:04:04.095448,0 days 00:11:10.086388,tanh,256,0.1,0.09681752596865192,0.8,0.999,2.9534961770597085e-05,-0.5625171946093886,0.6,20,256,small,-1,0.575023957873499,COMPLETE
73,73,92.12190959999998,2024-04-18 10:58:19.355959,2024-04-18 11:10:39.583689,0 days 00:12:20.227730,tanh,256,0.1,0.011884856905025087,0.9,0.9,2.1516239144030423e-05,0.7414137854502558,0.3,20,256,small,8,0.781573928841131,PRUNED
74,74,110.53124779999999,2024-04-18 10:58:29.713322,2024-04-18 11:43:25.703801,0 days 00:44:55.990479,relu,8,0.4,2.2606101901091073e-07,0.92,0.995,0.008460601179942654,0.7854132529310575,0.9,10,64,small,8,0.579792940923541,PRUNED
75,75,145.8047438,2024-04-18 11:00:56.756514,2024-04-18 11:13:26.216257,0 days 00:12:29.459743,tanh,256,0.4,0.006312410467803285,0.99,0.9,5.8977884812592946e-05,-0.30605593312323714,0.8,20,256,small,-1,0.7266816767700707,COMPLETE
76,76,142.3119135,2024-04-18 11:03:11.756874,2024-04-18 11:12:51.084914,0 days 00:09:39.328040,relu,256,0.4,0.0004600908840824212,0.8,0.999,0.006517107110360865,0.07765428067057972,0.5,1,64,tiny,128,0.4065027826738809,PRUNED
77,77,108.81184320000003,2024-04-18 11:04:04.096445,2024-04-18 11:16:42.575781,0 days 00:12:38.479336,tanh,256,0.1,0.04036340239650535,0.8,0.999,0.0006320822549628923,-1.3600019056772725,0.7,20,256,small,256,0.7536438492491,PRUNED
78,78,140.9794316,2024-04-18 11:06:18.335667,2024-04-18 11:18:30.410349,0 days 00:12:12.074682,tanh,256,0.1,0.004936701423365301,0.8,0.999,0.0001838766654143583,0.13755564793681563,0.6,20,256,small,-1,0.2637132996652308,PRUNED
79,79,140.0156935,2024-04-18 11:10:39.584686,2024-04-18 11:22:32.338759,0 days 00:11:52.754073,relu,256,0.2,9.903011822889398e-05,0.8,0.999,0.000662801396001861,-1.4956493914817184,2.0,5,64,medium,16,0.2667650809935004,PRUNED
80,80,125.9445001,2024-04-18 11:12:51.085912,2024-04-18 11:29:56.338214,0 days 00:17:05.252302,tanh,64,0.4,0.07713431989537094,0.8,0.995,1.772409771671202e-05,-1.1914114024651035,0.6,20,256,small,-1,0.7600288583660738,PRUNED
81,81,163.41711490000003,2024-04-18 11:13:26.218252,2024-04-18 11:30:16.998952,0 days 00:16:50.780700,tanh,256,0.1,0.02736246756192949,0.8,0.999,2.3094955190188226e-05,-0.26261564243646357,0.6,20,64,small,-1,0.6196561523031405,COMPLETE
82,82,83.50111000000001,2024-04-18 11:16:42.576778,2024-04-18 11:32:39.970611,0 days 00:15:57.393833,tanh,32,0.1,0.002901371137048766,1.0,0.999,4.1955325843668054e-05,-1.8632649397659011,0.6,10,256,small,8,0.5682002645608085,PRUNED
83,83,136.0010626,2024-04-18 11:16:49.499262,2024-04-18 11:56:26.180563,0 days 00:39:36.681301,tanh,8,0.4,9.859500933805585e-06,0.92,0.995,0.006179764493615511,0.28767481829687686,5.0,10,64,small,32,0.34862414671124764,PRUNED
84,84,113.5491709,2024-04-18 11:18:30.411347,2024-04-18 11:57:19.742298,0 days 00:38:49.330951,tanh,16,0.1,0.00040311262197248275,0.9,0.9,0.00023469395206938493,0.6207332123997562,1.0,20,2048,small,16,0.8005040594656091,PRUNED
85,85,165.5937615,2024-04-18 11:22:32.339756,2024-04-18 12:02:33.729656,0 days 00:40:01.389900,tanh,8,0.4,5.053242144528755e-08,0.92,0.9,0.014112930724972427,-0.2875735788296624,0.9,10,64,small,32,0.23536740039357912,COMPLETE
86,86,11.413216299999998,2024-04-18 11:29:56.339212,2024-04-18 12:23:05.974115,0 days 00:53:09.634903,relu,8,0.4,1.7712815717897635e-07,0.92,0.995,0.038612145514499756,0.8487437903304057,0.7,20,64,small,32,0.047189702308451514,PRUNED
87,87,111.79329580000001,2024-04-18 11:30:16.999949,2024-04-18 11:52:04.667973,0 days 00:21:47.668024,tanh,32,0.1,0.09302334387672448,0.8,0.999,1.9799447731452812e-05,-0.5758001957791842,0.9,20,64,small,32,0.605373602514994,PRUNED
88,88,141.5984582,2024-04-18 11:30:43.267689,2024-04-18 11:52:43.906093,0 days 00:22:00.638404,tanh,256,0.1,0.0008491858560566264,0.98,0.95,0.00022175328336791232,-1.4368446946322062,1.0,20,32,small,16,0.7190333228866593,PRUNED
89,89,83.9161384,2024-04-18 11:32:39.971608,2024-04-18 12:12:48.802609,0 days 00:40:08.831001,relu,8,0.4,2.483375910051985e-08,0.92,0.995,0.001260614747190798,0.8113749542818082,0.7,10,64,small,8,0.31391450705344026,PRUNED
90,90,111.182483,2024-04-18 11:43:25.704799,2024-04-18 11:51:42.998859,0 days 00:08:17.294060,tanh,16,0.1,0.0017964137507501749,0.98,0.9,0.0035746160241802486,-0.052135093818654665,1.0,1,32,small,16,0.8559467068097082,PRUNED
91,91,144.6708548,2024-04-18 11:51:42.999857,2024-04-18 12:08:11.750336,0 days 00:16:28.750479,tanh,256,0.1,0.0001893503652313433,0.8,0.95,0.00026857619705370807,0.8244356298655855,0.3,20,64,small,-1,0.81801777452117,PRUNED
92,92,90.5898854,2024-04-18 11:52:04.668970,2024-04-18 12:00:38.580558,0 days 00:08:33.911588,tanh,512,0.1,0.04890534510923111,0.9,0.9,0.014147976446874459,0.2871938850985374,1.0,20,2048,small,16,0.7209848638216025,PRUNED
93,93,146.10773360000002,2024-04-18 11:52:43.907091,2024-04-18 12:05:44.467253,0 days 00:13:00.560162,relu,256,0.4,0.0022133342468620082,0.8,0.999,0.0012263896177588788,0.781480239865019,0.6,10,64,medium,16,0.21994972559649117,COMPLETE
94,94,,2024-04-18 11:56:26.182557,2024-04-18 12:09:16.097887,0 days 00:12:49.915330,relu,8,0.4,1.4952091719681395e-07,0.92,0.98,0.5442524660373741,0.42122804330078467,0.7,10,1024,small,64,0.2031169547049352,PRUNED
95,95,115.1157367,2024-04-18 11:57:19.742298,2024-04-18 12:15:53.992505,0 days 00:18:34.250207,tanh,256,0.3,0.002132992092834091,0.9,0.9,0.001106456794972489,-0.4310797448135618,1.0,20,32,tiny,16,0.6386577399143945,PRUNED
96,96,109.6483016,2024-04-18 12:00:38.581555,2024-04-18 12:15:04.061204,0 days 00:14:25.479649,tanh,256,0.1,0.02126568819446057,0.8,0.95,5.7038608968473696e-05,-0.37740231124544055,2.0,20,64,small,-1,0.6755941602936961,PRUNED
97,97,122.22021380000001,2024-04-18 12:02:33.731651,2024-04-18 12:21:59.403203,0 days 00:19:25.671552,tanh,8,0.4,1.521935327846396e-08,0.92,0.9,0.005469070452309068,-0.9940234351570082,0.9,10,64,small,32,0.0902871566477918,PRUNED
98,98,118.40792300000001,2024-04-18 12:05:44.468251,2024-04-18 12:15:31.004548,0 days 00:09:46.536297,tanh,64,0.4,1.2977029531645615e-08,0.92,0.9,0.03259814829796655,0.9655787436181463,0.9,10,64,small,32,0.42208502569259787,PRUNED
99,99,128.311663,2024-04-18 12:08:11.751334,2024-04-18 12:26:02.188591,0 days 00:17:50.437257,tanh,8,0.4,1.1855534901307353e-08,0.92,0.9,0.0020563171790374986,-0.4307250174731564,0.9,20,512,small,32,0.00892300499553958,PRUNED
