,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
0,0,50.29140249999999,2024-04-18 07:59:59.296838,2024-04-18 08:33:10.817015,0 days 00:33:11.520177,tanh,128,0.1,7.000309014314853e-07,1.0,0.9,0.0705586038043538,-3.7040315885773136,0.8,20,32,medium,64,0.09454755088733902,PRUNED
1,1,115.7821074,2024-04-18 07:59:59.299005,2024-04-18 08:08:31.597581,0 days 00:08:32.298576,tanh,256,0.2,0.0001259324828512299,1.0,0.995,0.299657300027408,-1.5458596230419381,2.0,1,128,small,16,0.4324608166937657,COMPLETE
2,2,122.17484340000001,2024-04-18 07:59:59.301001,2024-04-18 08:28:40.651594,0 days 00:28:41.350593,relu,16,0.2,3.739516360574542e-08,0.9,0.99,6.647499058751618e-05,0.6225517761896366,0.6,10,1024,small,-1,0.7451857874873596,COMPLETE
3,3,98.5423937,2024-04-18 07:59:59.302002,2024-04-18 08:25:08.404205,0 days 00:25:09.102203,relu,32,0.4,0.004477238829654758,0.95,0.9999,0.016203228455433902,-2.6371958292896784,0.8,20,2048,tiny,128,0.7564713006068141,COMPLETE
4,4,63.1536695,2024-04-18 07:59:59.304003,2024-04-18 08:10:02.070588,0 days 00:10:02.766585,relu,256,0.2,0.003546168636981729,0.98,0.9999,0.986864988522373,-3.8826006064072445,0.3,10,512,medium,64,0.21634430008996186,COMPLETE
5,5,108.89850659999999,2024-04-18 07:59:59.305994,2024-04-18 08:28:23.208251,0 days 00:28:23.902257,relu,32,0.3,6.0828588446714075e-06,0.92,0.98,0.0020703020434638345,-0.34827482065879245,0.7,10,16,small,-1,0.16891731109063568,COMPLETE
6,6,135.1771143,2024-04-18 07:59:59.306992,2024-04-18 08:32:32.070626,0 days 00:32:32.763634,relu,512,0.4,1.470586443854557e-08,0.8,0.995,0.03644619680419679,-0.3463569014967107,0.3,10,16,medium,32,0.34894417162739466,COMPLETE
7,7,122.9221599,2024-04-18 07:59:59.310950,2024-04-18 08:27:46.446579,0 days 00:27:47.135629,tanh,8,0.2,0.011459128500067334,0.99,0.98,6.750877781468353e-05,0.18875782093258664,0.3,5,256,small,16,0.30390598663818247,COMPLETE
8,8,151.9001618,2024-04-18 08:08:31.598578,2024-04-18 08:17:10.778808,0 days 00:08:39.180230,tanh,256,0.4,5.788888909908624e-05,0.99,0.98,0.007883488228696839,-0.6729831048580044,0.5,10,256,tiny,256,0.4644201724701317,COMPLETE
9,9,110.3541755,2024-04-18 08:10:02.072582,2024-04-18 08:21:01.112007,0 days 00:10:59.039425,relu,8,0.4,0.0004020734633250431,0.95,0.95,0.023127612583929067,-1.7530313732229184,5.0,1,32,tiny,16,0.02586133968364046,COMPLETE
