,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
0,0,136.6738084,2024-04-16 09:14:38.673385,2024-04-16 09:45:34.913361,0 days 00:30:56.239976,tanh,32,0.3,0.02951227026239891,0.9,0.95,2.488065270417208e-05,0.6136527741868836,5.0,20,256,tiny,8,0.5591481294232743,COMPLETE
1,1,,2024-04-16 09:14:38.675351,2024-04-16 09:18:51.536286,0 days 00:04:12.860935,tanh,128,0.3,1.8705058381284505e-07,0.99,0.9,0.6453024649884255,-1.5871774851890628,0.8,5,64,medium,128,0.6012980751320288,PRUNED
2,2,63.08127089999999,2024-04-16 09:14:38.676357,2024-04-16 09:27:44.782826,0 days 00:13:06.106469,tanh,512,0.2,1.5383954166514431e-06,1.0,0.995,5.562010272483106e-05,0.8471537993033973,2.0,20,2048,medium,128,0.25948265109669266,COMPLETE
3,3,33.14929880000001,2024-04-16 09:14:38.677417,2024-04-16 09:28:16.671531,0 days 00:13:37.994114,tanh,16,0.3,1.869247271688524e-08,0.98,0.9,0.012147788614374938,-2.827019258033943,0.7,1,512,medium,64,0.45961515530461283,COMPLETE
4,4,52.0562315,2024-04-16 09:14:38.678443,2024-04-16 09:29:52.433372,0 days 00:15:13.754929,tanh,64,0.2,6.970475795651746e-06,0.8,0.9999,0.0011228654094811844,-3.6892050549254973,0.8,5,32,tiny,32,0.46804926650586465,COMPLETE
5,5,120.88508770000003,2024-04-16 09:14:38.679442,2024-04-16 09:45:26.816019,0 days 00:30:48.136577,relu,16,0.2,0.07122405447795442,0.99,0.995,0.02004336239287764,0.9686842184051914,2.0,10,512,tiny,256,0.8583930134713056,COMPLETE
6,6,83.8848777,2024-04-16 09:14:38.679442,2024-04-16 09:35:26.485279,0 days 00:20:47.805837,relu,16,0.2,2.4298743035713863e-05,0.8,0.9,0.008795515776990058,0.24509611628122485,0.8,5,2048,tiny,256,0.39706053106064665,COMPLETE
7,7,56.9825408,2024-04-16 09:14:38.680439,2024-04-16 09:25:39.320510,0 days 00:11:00.640071,tanh,128,0.3,0.0007261700402026823,0.8,0.999,0.01680849143124993,-3.8487885021210273,0.5,1,2048,tiny,128,0.34868342283878784,COMPLETE
8,8,,2024-04-16 09:18:51.537283,2024-04-16 09:42:43.990692,0 days 00:23:52.453409,relu,64,0.2,0.01951648220748868,0.99,0.995,0.05644648795785713,0.34316116871075053,0.9,20,16,medium,8,0.531895092034924,PRUNED
9,9,94.6418668,2024-04-16 09:25:39.321508,2024-04-16 09:39:09.314148,0 days 00:13:29.992640,relu,128,0.1,0.02919063482922012,0.9,0.95,0.0005792375943299294,-2.5267274725131714,0.9,10,512,medium,16,0.6945417297335625,COMPLETE
10,10,44.9072426,2024-04-16 09:27:44.784821,2024-04-16 09:39:43.760294,0 days 00:11:58.975473,tanh,512,0.3,6.814846754063103e-08,0.92,0.9,0.336967252149195,-0.8667306730161579,1.0,1,16,small,64,0.5735357226362112,COMPLETE
11,11,5.162062199999999,2024-04-16 09:28:16.672528,2024-04-16 09:42:58.191858,0 days 00:14:41.519330,relu,32,0.1,0.00021143084521917883,0.95,0.999,0.004607755583605375,-3.87566083368068,5.0,1,8,small,-1,0.3763043251045999,COMPLETE
12,12,66.4497291,2024-04-16 09:29:52.434369,2024-04-16 10:13:09.112553,0 days 00:43:16.678184,tanh,16,0.4,0.0021881873693257383,0.99,0.999,0.0001224134836686977,-2.5947706631868126,1.0,20,128,tiny,-1,0.801738861400265,PRUNED
13,13,88.33350279999999,2024-04-16 09:35:26.487274,2024-04-16 09:48:17.933633,0 days 00:12:51.446359,tanh,256,0.1,0.014997877447350521,0.95,0.98,0.0007914023419757189,-0.074847085829576,2.0,20,256,tiny,32,0.5662688679388319,COMPLETE
14,14,74.5725123,2024-04-16 09:39:09.317140,2024-04-16 09:51:17.581937,0 days 00:12:08.264797,relu,64,0.4,3.8766429758434746e-05,0.92,0.95,0.0015855925943316254,-3.3260615420840103,0.6,1,2048,small,32,0.0038474555594025794,COMPLETE
15,15,88.5028045,2024-04-16 09:39:43.761292,2024-04-16 09:52:44.729616,0 days 00:13:00.968324,relu,128,0.4,1.829558185284379e-05,0.99,0.95,3.57832228116773e-05,-3.7632120995660534,0.5,5,2048,medium,16,0.4001991340639658,COMPLETE
16,16,100.9816013,2024-04-16 09:42:43.991690,2024-04-16 09:56:14.736387,0 days 00:13:30.744697,tanh,128,0.1,1.5704901731518604e-05,0.98,0.995,1.2614300377135437e-05,-0.5742063404943538,1.0,10,512,small,256,0.5784843430463245,COMPLETE
17,17,131.6418152,2024-04-16 09:42:58.192855,2024-04-16 09:56:47.936043,0 days 00:13:49.743188,relu,128,0.1,4.1975477461734175e-06,0.92,0.95,9.031759229749552e-05,-2.15320538959977,0.3,10,128,medium,32,0.5750255262921057,COMPLETE
18,18,26.7684526,2024-04-16 09:45:26.818014,2024-04-16 10:10:09.132801,0 days 00:24:42.314787,relu,16,0.4,0.007951301574817366,0.99,0.98,0.09816494851034169,-0.598382349531998,2.0,10,512,tiny,256,0.8351995944437485,PRUNED
19,19,86.7165105,2024-04-16 09:45:34.915355,2024-04-16 10:03:32.298839,0 days 00:17:57.383484,tanh,32,0.3,0.08845817031714097,0.9,0.999,0.0019071661260830059,-0.0651435462992036,5.0,10,2048,tiny,8,0.5877908783358443,COMPLETE
20,20,84.3364303,2024-04-16 09:48:17.934630,2024-04-16 10:11:56.655790,0 days 00:23:38.721160,relu,16,0.2,0.024345557215649297,0.8,0.999,0.001356956616385237,0.25501820938638087,2.0,10,64,tiny,256,0.8105270698304503,PRUNED
21,21,140.7476925,2024-04-16 09:51:17.582934,2024-04-16 10:14:41.058686,0 days 00:23:23.475752,relu,16,0.2,0.02374733771849473,0.99,0.95,0.06811169347308814,0.7839449368573621,0.3,10,512,tiny,256,0.6489639728464764,COMPLETE
22,22,58.7338526,2024-04-16 09:52:44.731611,2024-04-16 10:35:22.501632,0 days 00:42:37.770021,relu,16,0.1,0.006446056878347722,0.99,0.995,0.01935658464476099,0.5589299149054066,2.0,20,512,tiny,32,0.8984762889882512,PRUNED
23,23,78.51355919999999,2024-04-16 09:56:14.737384,2024-04-16 10:24:26.711271,0 days 00:28:11.973887,relu,16,0.3,0.006740809400887618,0.9,0.995,0.005038530327737157,0.789799759571244,2.0,10,1024,small,256,0.5364043028925053,PRUNED
24,24,115.4024901,2024-04-16 09:56:47.937040,2024-04-16 11:11:54.517908,0 days 01:15:06.580868,tanh,8,0.3,0.0003315955592715102,0.9,0.95,0.0005540041302091487,-0.4945489274410111,5.0,20,32,tiny,8,0.7883611745848775,COMPLETE
25,25,115.2678944,2024-04-16 10:03:32.299836,2024-04-16 10:21:54.671641,0 days 00:18:22.371805,relu,512,0.1,1.9616883510403137e-06,0.92,0.95,6.256428317621757e-05,-3.794851114347544,0.3,10,32,small,32,0.6352000934362977,COMPLETE
26,26,135.06914159999997,2024-04-16 10:10:09.133799,2024-04-16 10:25:21.042509,0 days 00:15:11.908710,relu,128,0.4,3.9818444422025115e-08,0.92,0.95,2.8890002149802295e-05,-1.4106807829222416,0.3,20,128,medium,32,0.7798697918724771,COMPLETE
27,27,118.1208349,2024-04-16 10:11:56.656787,2024-04-16 10:24:50.469045,0 days 00:12:53.812258,tanh,128,0.3,0.011767957349817714,0.8,0.95,9.818879261889172e-05,-0.18368974245919012,0.5,20,256,tiny,256,0.4729849792932228,COMPLETE
28,28,110.4638655,2024-04-16 10:13:09.114548,2024-04-16 10:26:06.810609,0 days 00:12:57.696061,relu,128,0.3,3.1993592137252625e-05,0.92,0.95,6.278623618196989e-05,-2.0524334201680854,0.3,10,1024,medium,32,0.564972191329249,COMPLETE
29,29,87.36228350000002,2024-04-16 10:14:41.059684,2024-04-16 10:38:13.148671,0 days 00:23:32.088987,relu,32,0.1,2.673443637351141e-05,0.92,0.999,0.0007244132157650503,-3.0945543340280004,0.3,10,128,medium,32,0.7164565727885307,PRUNED
30,30,70.3917671,2024-04-16 10:21:54.672638,2024-04-16 10:35:45.765932,0 days 00:13:51.093294,relu,128,0.1,7.867349619553507e-05,0.92,0.95,5.969413055156413e-05,-2.7926269112020528,0.3,10,128,medium,-1,0.403491604895566,PRUNED
31,31,,2024-04-16 10:24:26.712268,2024-04-16 10:24:47.249656,0 days 00:00:20.537388,relu,16,0.2,0.022937115923805703,0.99,0.95,0.6971892338213669,-0.450553592764771,0.3,10,1024,medium,256,0.5739724809008224,PRUNED
32,32,118.45066890000001,2024-04-16 10:24:47.250653,2024-04-16 10:36:48.919196,0 days 00:12:01.668543,tanh,16,0.3,0.029491979582270043,0.9,0.95,1.0728637391037584e-05,0.6501631361864519,5.0,1,256,tiny,8,0.786275212219698,COMPLETE
33,33,70.26111619999999,2024-04-16 10:24:50.471039,2024-04-16 10:38:42.095632,0 days 00:13:51.624593,relu,128,0.3,2.1698759771239736e-07,0.9,0.95,0.0005227767770076919,-2.3391297824332273,0.3,10,128,medium,32,0.44965622351037426,PRUNED
34,34,106.15343599999999,2024-04-16 10:25:21.043506,2024-04-16 10:41:45.715748,0 days 00:16:24.672242,relu,128,0.4,3.126800178166618e-08,0.92,0.95,0.0001457362606895395,0.07008123920038023,0.3,20,256,small,128,0.7724571041260279,COMPLETE
35,35,113.96155759999999,2024-04-16 10:26:06.812604,2024-04-16 10:40:10.989862,0 days 00:14:04.177258,tanh,256,0.1,0.018791109076718045,0.9,0.95,2.3196051488701448e-05,0.8368805841155937,5.0,20,256,medium,8,0.5028496699739611,COMPLETE
36,36,81.02420180000001,2024-04-16 10:35:22.505621,2024-04-16 10:51:34.405146,0 days 00:16:11.899525,relu,512,0.4,2.4561102689298745e-06,0.8,0.95,0.00010223163958587289,-2.1799542827783545,1.0,20,128,medium,32,0.858452768063133,PRUNED
37,37,120.5978414,2024-04-16 10:35:45.767927,2024-04-16 11:01:00.475015,0 days 00:25:14.707088,tanh,32,0.3,0.0005994029842829549,0.9,0.95,0.0002450646928146221,0.70205548611616,5.0,20,256,tiny,64,0.42109849662168436,COMPLETE
38,38,95.7253264,2024-04-16 10:36:48.919196,2024-04-16 12:11:25.998034,0 days 01:34:37.078838,relu,8,0.1,1.118895638554943e-07,1.0,0.95,2.127382092515731e-05,-0.8631146581063113,0.3,20,2048,medium,32,0.6171189555421499,PRUNED
39,39,120.60214600000002,2024-04-16 10:38:13.149668,2024-04-16 10:53:39.049207,0 days 00:15:25.899539,tanh,128,0.4,1.6183924896688808e-07,0.92,0.95,5.6942778195300386e-05,-1.6762477885411469,0.8,20,128,medium,32,0.7311200051628203,COMPLETE
40,40,125.9990016,2024-04-16 10:38:42.096630,2024-04-16 10:51:49.145719,0 days 00:13:07.049089,relu,128,0.4,1.1906748848910253e-08,0.92,0.95,2.332404732991632e-05,-1.526836171514351,0.3,20,128,tiny,32,0.8476734640948075,COMPLETE
41,41,120.94690089999999,2024-04-16 10:40:10.990859,2024-04-16 10:55:32.426117,0 days 00:15:21.435258,relu,128,0.2,1.4640151131407743e-08,0.92,0.99,3.247164392202675e-05,-0.5372498284996428,0.3,20,128,medium,64,0.804783662972569,COMPLETE
42,42,79.6423755,2024-04-16 10:41:45.717743,2024-04-16 10:56:34.350615,0 days 00:14:48.632872,relu,128,0.4,4.842719750736578e-08,0.92,0.995,0.00013350483555715502,-1.04634673823417,1.0,20,128,medium,32,0.7856810037715832,PRUNED
43,43,119.5565304,2024-04-16 10:51:34.406143,2024-04-16 11:30:48.095114,0 days 00:39:13.688971,tanh,32,0.2,0.00972813973852322,0.9,0.95,7.480383657913059e-05,0.8281564166161967,1.0,20,16,tiny,64,0.41450781670645687,COMPLETE
44,44,72.06738499999999,2024-04-16 10:51:49.146716,2024-04-16 11:13:58.841458,0 days 00:22:09.694742,tanh,32,0.3,0.0011748352093361894,0.98,0.95,2.7322789206684284e-05,0.8880683158916673,5.0,20,32,tiny,8,0.36916310160870885,PRUNED
