,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
45,45,89.1826167,2024-04-16 10:53:39.051201,2024-04-16 11:15:58.811462,0 days 00:22:19.760261,tanh,32,0.3,0.008442480923837066,0.9,0.99,0.0004352585374280285,0.5000939315971893,5.0,20,256,tiny,16,0.09152352844049755,PRUNED
46,46,109.148711,2024-04-16 10:55:32.427115,2024-04-16 11:18:08.856612,0 days 00:22:36.429497,tanh,32,0.3,0.029497502949707172,0.9,0.95,2.9890045507111554e-05,0.5082001820783392,2.0,20,512,tiny,8,0.501567098907396,PRUNED
47,47,112.56282639999999,2024-04-16 10:56:34.351613,2024-04-16 11:19:25.298852,0 days 00:22:50.947239,relu,32,0.3,0.0009035182583180009,0.99,0.95,0.00012257257813031946,0.6828462589103067,0.9,20,256,tiny,8,0.48824401112266586,COMPLETE
48,48,123.63496649999999,2024-04-16 11:01:00.477010,2024-04-16 11:11:46.307868,0 days 00:10:45.830858,relu,128,0.1,4.396128463583397e-07,0.92,0.95,6.908103755391419e-05,-0.4527982431736024,0.3,20,128,tiny,32,0.7692014101679647,COMPLETE
49,49,109.9384654,2024-04-16 11:11:46.309862,2024-04-16 11:23:52.072638,0 days 00:12:05.762776,tanh,64,0.2,0.0038045628938390046,1.0,0.95,0.11816986012019602,0.5955034767715586,0.3,10,512,tiny,256,0.5354921029485292,PRUNED
50,50,46.5241898,2024-04-16 11:11:54.518905,2024-04-16 11:36:14.091299,0 days 00:24:19.572394,relu,16,0.2,7.745955277226536e-05,0.99,0.95,0.01450179767461718,0.3327530907659524,0.3,10,512,tiny,16,0.723765938634237,PRUNED
51,51,77.07046210000001,2024-04-16 11:13:58.842455,2024-04-16 11:22:21.314054,0 days 00:08:22.471599,relu,512,0.2,0.03672932491936497,0.99,0.95,0.029767947932118673,-0.3479816774032074,0.7,10,512,tiny,128,0.42071531827853564,PRUNED
52,52,101.07289449999999,2024-04-16 11:15:58.812459,2024-04-16 12:26:49.793671,0 days 01:10:50.981212,relu,512,0.4,8.824377307227161e-08,0.99,0.9999,2.9041708394524937e-05,-1.8579692416904816,0.3,20,8,tiny,32,0.581567103088362,PRUNED
53,53,112.6132126,2024-04-16 11:18:08.857609,2024-04-16 11:42:11.775964,0 days 00:24:02.918355,relu,16,0.2,0.016885134052089527,0.92,0.95,0.009183666968598323,0.327868216203681,0.3,10,512,tiny,-1,0.35781870276618205,PRUNED
54,54,112.4433592,2024-04-16 11:19:25.300847,2024-04-16 11:59:34.459091,0 days 00:40:09.158244,relu,16,0.4,2.0305758451135097e-08,0.92,0.95,0.0002768292330374639,-2.2187975135706153,2.0,20,2048,tiny,32,0.7835143848991204,PRUNED
55,55,116.58381940000001,2024-04-16 11:22:21.315051,2024-04-16 11:31:14.304335,0 days 00:08:52.989284,relu,256,0.2,0.00480509821869701,0.9,0.95,0.06788394969313259,-0.2853416270977489,0.3,10,2048,tiny,-1,0.6643013599936239,COMPLETE
56,56,107.8978344,2024-04-16 11:23:52.073635,2024-04-16 11:35:21.996198,0 days 00:11:29.922563,relu,128,0.2,1.0675873058256861e-08,0.99,0.999,1.6333690366740203e-05,-1.9012541865634773,0.9,20,128,tiny,32,0.9095310918923534,PRUNED
57,57,95.9284191,2024-04-16 11:30:48.096111,2024-04-16 11:49:47.569638,0 days 00:18:59.473527,relu,32,0.4,1.9798007316629543e-08,0.92,0.95,2.8151386842006858e-05,-0.7515236876247081,0.9,10,256,medium,8,0.6710375771234021,PRUNED
58,58,26.899342600000004,2024-04-16 11:31:14.306330,2024-04-16 11:54:37.894624,0 days 00:23:23.588294,relu,32,0.1,3.388608416996062e-06,0.92,0.95,0.002204272525520931,-0.2316067246946202,0.6,20,128,tiny,32,0.7486237188715716,PRUNED
59,59,131.89154059999998,2024-04-16 11:35:21.997195,2024-04-16 11:46:48.396072,0 days 00:11:26.398877,relu,512,0.4,8.394463506433769e-08,0.92,0.98,1.2160985990392418e-05,-0.9999706659303382,0.3,20,128,tiny,16,0.8840233592166777,COMPLETE
60,60,107.72926600000001,2024-04-16 11:36:14.092296,2024-04-16 11:48:00.953000,0 days 00:11:46.860704,relu,128,0.1,1.7116294507622377e-07,0.9,0.95,0.00010078284447619738,-0.5169296435764206,0.6,20,256,tiny,32,0.5421737601132968,PRUNED
61,61,78.9521744,2024-04-16 11:42:11.776962,2024-04-16 12:51:51.658647,0 days 01:09:39.881685,relu,8,0.4,1.2524861875333544e-07,0.92,0.95,5.867805735582133e-05,-1.7978892100863384,0.3,20,128,tiny,16,0.7545839780046544,PRUNED
62,62,,2024-04-16 11:46:48.397070,2024-04-16 11:50:46.601737,0 days 00:03:58.204667,relu,16,0.3,0.07355480259919346,0.8,0.95,0.1886910742792741,0.09959272788678131,0.3,1,32,tiny,256,0.5206273569584909,PRUNED
63,63,141.865687,2024-04-16 11:48:00.953997,2024-04-16 12:11:21.724465,0 days 00:23:20.770468,relu,32,0.4,1.7553276547462124e-06,0.92,0.98,0.0001582419908165385,-0.18324758500516958,0.9,20,32,tiny,16,0.7452518220182031,COMPLETE
64,64,119.4869604,2024-04-16 11:49:47.569638,2024-04-16 12:02:02.102250,0 days 00:12:14.532612,relu,512,0.4,1.8047894469467231e-06,0.92,0.98,1.1907131147393302e-05,0.27475964245988016,0.3,20,128,tiny,16,0.5588388833772571,COMPLETE
65,65,95.1932369,2024-04-16 11:50:46.602735,2024-04-16 11:59:40.364296,0 days 00:08:53.761561,relu,512,0.4,1.613510397959983e-08,0.92,0.98,0.0011073666302887006,-2.572778973830656,0.9,20,512,tiny,16,0.911433331799998,PRUNED
66,66,131.6410537,2024-04-16 11:54:37.895622,2024-04-16 12:06:15.577471,0 days 00:11:37.681849,relu,512,0.4,4.862353619219454e-06,0.8,0.9999,1.604000462394413e-05,0.34450356606090926,0.3,20,128,tiny,64,0.7368361296449049,COMPLETE
67,67,87.0008335,2024-04-16 11:59:34.460088,2024-04-16 12:36:36.906741,0 days 00:37:02.446653,relu,64,0.3,2.7834997295127907e-06,0.92,0.98,2.23494180689077e-05,-0.8563072922735048,0.6,20,16,tiny,16,0.9865556071525386,PRUNED
68,68,109.94877179999999,2024-04-16 11:59:40.365293,2024-04-16 12:12:34.201606,0 days 00:12:53.836313,relu,512,0.4,2.7056695169453475e-07,0.92,0.98,3.175875993594779e-05,-1.4358367327950297,0.3,20,128,medium,16,0.8656222742476763,PRUNED
69,69,120.2198044,2024-04-16 12:02:02.103247,2024-04-16 12:24:28.142417,0 days 00:22:26.039170,tanh,256,0.4,2.8652551804041147e-07,0.92,0.999,2.3976099126283847e-05,-1.0141003911678088,0.3,20,32,tiny,32,0.8682942347684467,COMPLETE
70,70,132.83635049999998,2024-04-16 12:06:15.578468,2024-04-16 12:33:56.676598,0 days 00:27:41.098130,relu,128,0.4,9.877386992905145e-07,0.99,0.95,1.2108336891425665e-05,-3.3018800229146557,0.3,20,32,medium,32,0.6932683461817943,COMPLETE
71,71,148.5962796,2024-04-16 12:11:21.725463,2024-04-16 12:22:52.782926,0 days 00:11:31.057463,relu,512,0.4,0.0001119265964497137,0.8,0.95,0.00012824158390918445,0.5565131802293809,0.3,20,128,tiny,64,0.585806346061028,COMPLETE
72,72,102.65317459999999,2024-04-16 12:11:25.999032,2024-04-16 12:22:55.032907,0 days 00:11:29.033875,relu,32,0.4,9.044858525021383e-07,0.92,0.9999,0.0040550147148818725,-0.19730592990992288,0.9,5,32,tiny,16,0.856004646660253,PRUNED
73,73,78.0118949,2024-04-16 12:12:34.202604,2024-04-16 12:50:35.434324,0 days 00:38:01.231720,relu,512,0.2,3.910545587357333e-06,0.8,0.995,1.6670863770011664e-05,-0.9806396558841226,0.3,20,16,tiny,64,0.6996599667292543,PRUNED
74,74,133.10221420000002,2024-04-16 12:22:52.785918,2024-04-16 12:35:05.802834,0 days 00:12:13.016916,tanh,512,0.4,0.0009190953638305265,0.8,0.95,0.00010520745520012598,0.7592548440368959,0.3,20,128,small,256,0.4846443446815279,COMPLETE
75,75,73.4496455,2024-04-16 12:22:55.033905,2024-04-16 13:03:17.062324,0 days 00:40:22.028419,relu,16,0.4,0.00010435686166308777,0.8,0.95,0.0008754593889822989,0.11366889460115931,0.6,20,64,tiny,64,0.4490153669283492,PRUNED
76,76,85.45968890000002,2024-04-16 12:24:28.143415,2024-04-16 12:47:21.175381,0 days 00:22:53.031966,tanh,32,0.4,1.3274116734334386e-05,0.98,0.98,0.0003136541190733261,-0.030034920667264958,0.9,20,32,tiny,16,0.8245574776605261,PRUNED
77,77,103.7078577,2024-04-16 12:26:49.794668,2024-04-16 12:49:45.192775,0 days 00:22:55.398107,relu,32,0.4,4.413469970292654e-06,0.92,0.98,2.5879866655473207e-05,-1.4385032606119534,0.9,20,32,tiny,16,0.9000333704858233,PRUNED
78,78,133.1732697,2024-04-16 12:33:56.677596,2024-04-16 12:45:23.337742,0 days 00:11:26.660146,relu,512,0.2,0.0016141345972138948,0.8,0.95,0.004786268643975738,0.12358937376252205,2.0,20,128,tiny,64,0.5560130646965308,COMPLETE
79,79,73.8122701,2024-04-16 12:35:05.803831,2024-04-16 13:05:14.588969,0 days 00:30:08.785138,tanh,512,0.4,0.0007591825066667919,1.0,0.95,0.00031381381032243293,0.44709119033050376,0.5,20,32,small,256,0.6733138690063637,PRUNED
80,80,105.49288250000002,2024-04-16 12:36:36.907739,2024-04-16 12:49:35.069458,0 days 00:12:58.161719,tanh,512,0.4,0.0001991310803551197,0.8,0.95,0.00011252240052972629,0.4468446348722557,0.3,20,128,small,256,0.7191389707228552,PRUNED
81,81,77.8979015,2024-04-16 12:45:23.338739,2024-04-16 13:17:51.591916,0 days 00:32:28.253177,relu,128,0.4,1.530445414794212e-06,0.99,0.95,1.8060673135636163e-05,-3.221963224142631,0.3,20,32,medium,32,0.38180274479694776,PRUNED
82,82,85.52123229999998,2024-04-16 12:47:21.176378,2024-04-16 13:00:56.833112,0 days 00:13:35.656734,relu,512,0.2,0.025306482743777076,0.95,0.95,0.0002357931928926648,-0.8542589693927809,2.0,20,128,tiny,64,0.4366005424746488,PRUNED
83,83,97.6485905,2024-04-16 12:49:35.070455,2024-04-16 12:59:39.099244,0 days 00:10:04.028789,relu,512,0.2,0.005281440639944397,0.8,0.99,0.010102947825483693,0.7303739275056143,2.0,20,1024,tiny,64,0.6263729951822958,PRUNED
84,84,86.06806379999999,2024-04-16 12:49:45.193772,2024-04-16 13:23:33.372917,0 days 00:33:48.179145,tanh,128,0.4,7.304648359605104e-07,0.99,0.95,3.402417515850065e-05,-2.5700757957322593,0.3,20,32,medium,32,0.8942407514270555,PRUNED
85,85,119.72638339999999,2024-04-16 12:50:35.435321,2024-04-16 13:01:33.885871,0 days 00:10:58.450550,relu,128,0.4,2.705632562366091e-08,0.99,0.95,0.00014183510376249714,-3.820028034822032,0.3,1,32,medium,128,0.5881623584467172,COMPLETE
86,86,110.0479695,2024-04-16 12:51:51.659644,2024-04-16 13:13:00.770670,0 days 00:21:09.111026,relu,128,0.4,3.091790691363069e-06,0.99,0.95,2.8345499123439296e-05,-3.2194716021071623,0.3,20,64,medium,64,0.7278596358814038,PRUNED
87,87,112.6768892,2024-04-16 12:59:39.101239,2024-04-16 13:13:46.187410,0 days 00:14:07.086171,relu,128,0.4,1.553962689120244e-06,0.99,0.95,2.671344098245463e-05,-3.4701221988720814,0.3,20,512,medium,8,0.7628042584412424,PRUNED
88,88,126.51545139999999,2024-04-16 13:00:56.835106,2024-04-16 13:33:42.267040,0 days 00:32:45.431934,relu,128,0.4,7.017492201770259e-06,0.99,0.9999,1.0474582091953431e-05,-1.5790668124385343,0.3,20,32,medium,128,0.49309574655729194,COMPLETE
89,89,8.351562900000001,2024-04-16 13:01:33.887866,2024-04-16 13:38:27.269171,0 days 00:36:53.381305,relu,16,0.4,4.07535758489701e-05,0.8,0.95,0.011946580190571742,0.6223151657398882,5.0,20,128,tiny,64,0.7778728830636179,PRUNED
90,90,,2024-04-16 13:03:17.064319,2024-04-16 13:19:02.672035,0 days 00:15:45.607716,relu,16,0.2,0.00023322142928501634,0.8,0.95,0.29896937220161746,-0.5731428253151671,2.0,20,128,tiny,64,0.3950238692020376,PRUNED
91,91,160.34870940000002,2024-04-16 13:05:14.590964,2024-04-16 13:14:25.827649,0 days 00:09:11.236685,relu,512,0.4,0.018209575893866223,0.8,0.999,0.0008848712275652737,-0.08779886587704033,0.3,5,128,tiny,64,0.3043120110887289,COMPLETE
92,92,91.9237723,2024-04-16 13:13:00.771668,2024-04-16 13:36:50.465734,0 days 00:23:49.694066,tanh,32,0.3,0.09392853338388109,0.9,0.99,1.1094212112903484e-05,0.023670293419710164,5.0,20,256,tiny,8,0.7326125310742906,PRUNED
93,93,5.3600095,2024-04-16 13:13:46.188407,2024-04-16 13:23:06.208575,0 days 00:09:20.020168,relu,512,0.2,0.011213407965967705,0.99,0.95,0.18951183190864376,-0.09127598453773822,0.3,5,2048,tiny,256,0.7822566773458568,PRUNED
94,94,118.59766929999998,2024-04-16 13:14:25.829644,2024-04-16 13:24:13.170516,0 days 00:09:47.340872,relu,512,0.4,0.0020154767799458323,0.8,0.95,9.541712911409847e-05,-0.7568948742728243,0.3,5,512,tiny,64,0.22897210425253803,PRUNED
95,95,22.445590900000003,2024-04-16 13:17:51.593911,2024-04-16 13:34:39.374486,0 days 00:16:47.780575,relu,16,0.4,0.005825943235983655,0.8,0.999,0.004304270106955448,-0.13403680978792928,0.3,5,128,tiny,64,0.6184270311207658,PRUNED
96,96,104.61015760000001,2024-04-16 13:19:02.673032,2024-04-16 13:28:51.052227,0 days 00:09:48.379195,relu,512,0.4,0.0025619663095231195,0.99,0.999,0.0024070394420070995,-0.7520274670459072,0.3,5,1024,tiny,64,0.2215818994820033,PRUNED
97,97,113.6529821,2024-04-16 13:23:06.209572,2024-04-16 13:39:05.308290,0 days 00:15:59.098718,relu,64,0.4,0.0011227625275759844,0.8,0.95,0.0030636692482412103,0.2658791930472445,0.3,5,8,tiny,128,0.28929611790765253,PRUNED
98,98,77.03250929999999,2024-04-16 13:23:33.373914,2024-04-16 13:39:08.407999,0 days 00:15:35.034085,relu,512,0.4,0.007417387787063281,0.8,0.9,0.00022884343084805225,0.6536584577624832,0.3,5,8,tiny,64,0.5092365571523074,PRUNED
99,99,142.3876392,2024-04-16 13:24:13.171514,2024-04-16 13:35:31.595632,0 days 00:11:18.424118,relu,512,0.4,0.0004031633981001788,0.8,0.95,0.00010367062114027488,0.4920318373055154,0.5,20,128,tiny,32,0.4043007665742667,COMPLETE
