,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
0,0,-1.9835594999999984,2024-04-18 04:24:38.247693,2024-04-18 04:40:46.155838,0 days 00:16:07.908145,tanh,512,0.2,2.6067953906985837e-05,1.0,0.999,0.05141907182647272,0.7881305234385971,0.6,20,256,medium,-1,0.6318125955771912,COMPLETE
1,1,21.669721799999998,2024-04-18 04:24:38.249703,2024-04-18 04:49:41.333294,0 days 00:25:03.083591,tanh,16,0.1,0.002128119427384408,0.8,0.98,2.055179964923918e-05,-1.7269929853354329,0.5,5,64,small,32,0.45461462075745895,COMPLETE
2,2,47.0694165,2024-04-18 04:24:38.250695,2024-04-18 04:43:44.610615,0 days 00:19:06.359920,tanh,32,0.4,0.006769958642132661,0.98,0.9,0.00043833732592140435,0.6322572398499204,0.7,5,512,medium,64,0.7946653919153739,COMPLETE
3,3,6.8429948,2024-04-18 04:24:38.252651,2024-04-18 04:37:24.005405,0 days 00:12:45.752754,relu,256,0.4,0.004925781454206099,0.8,0.9999,7.329702496786348e-05,-2.316684444114306,5.0,5,256,medium,256,0.4648928276308235,COMPLETE
4,4,12.031685000000001,2024-04-18 04:24:38.253648,2024-04-18 04:37:03.644865,0 days 00:12:25.391217,relu,64,0.1,0.0001533631817299216,0.8,0.99,0.42823571036060437,0.4652412257096845,0.7,1,64,small,64,0.9443144673553956,COMPLETE
5,5,72.96535899999999,2024-04-18 04:24:38.255679,2024-04-18 04:36:29.792278,0 days 00:11:51.536599,tanh,512,0.3,9.597694694242035e-08,0.99,0.995,0.0004476642447297611,0.07269504865218757,0.9,5,256,tiny,128,0.9215625554732826,COMPLETE
6,6,62.427680499999994,2024-04-18 04:24:38.256651,2024-04-18 04:41:30.213993,0 days 00:16:51.957342,relu,256,0.3,0.0002695906722790502,0.9,0.98,0.007692829087683391,-1.4058600167647488,2.0,5,32,tiny,8,0.2996665826598266,COMPLETE
7,7,75.2122757,2024-04-18 04:24:38.258635,2024-04-18 04:37:15.075291,0 days 00:12:36.816656,relu,256,0.4,0.0007609379588446523,0.9,0.9,0.00239372655358998,0.5761715738684261,0.9,10,256,tiny,16,0.8765870181967675,COMPLETE
8,8,12.842290599999998,2024-04-18 04:36:29.793275,2024-04-18 04:51:14.422327,0 days 00:14:44.629052,tanh,256,0.2,5.8052738666114656e-05,0.99,0.99,0.000143183289046298,-0.8016949459795155,5.0,20,256,medium,64,0.3981717827029062,PRUNED
9,9,-8.7842001,2024-04-18 04:37:03.645862,2024-04-18 04:48:35.948184,0 days 00:11:32.302322,tanh,128,0.1,1.9048629236415837e-08,1.0,0.95,0.012833983496752143,-2.9982904614259906,0.9,1,64,small,128,0.6868837248130347,COMPLETE
10,10,-8.082826000000003,2024-04-18 04:37:15.077286,2024-04-18 05:00:48.116588,0 days 00:23:33.039302,tanh,512,0.1,0.0003899791403778047,0.92,0.999,0.00022820926764315799,-1.104683148554289,0.6,5,16,small,8,0.5497743744567843,PRUNED
11,11,-5.5845236,2024-04-18 04:37:24.007400,2024-04-18 04:50:15.126928,0 days 00:12:51.119528,tanh,256,0.4,2.4404762034562268e-05,0.8,0.9999,0.1329004686947999,-3.883762722144642,0.7,10,2048,small,16,0.4236219634777242,COMPLETE
12,12,6.200186800000001,2024-04-18 04:40:46.156835,2024-04-18 04:52:01.567361,0 days 00:11:15.410526,relu,128,0.3,3.0792468168009303e-06,0.98,0.9999,0.05454348910326113,-3.707089564328987,0.8,1,256,medium,8,0.24467363331594438,PRUNED
13,13,74.9063602,2024-04-18 04:41:30.215988,2024-04-18 05:01:33.444370,0 days 00:20:03.228382,tanh,32,0.3,0.0019319111104362096,0.95,0.9,9.36921562848332e-05,-3.246639988273542,1.0,10,256,tiny,256,0.8063754873739047,COMPLETE
14,14,84.8410342,2024-04-18 04:43:44.612610,2024-04-18 05:11:33.094905,0 days 00:27:48.482295,relu,16,0.4,9.111853158232843e-05,0.9,0.999,0.08212697335415824,0.5765469370774774,0.6,10,128,tiny,256,0.8064749696885447,COMPLETE
15,15,61.021757,2024-04-18 04:48:35.949181,2024-04-18 05:02:22.502243,0 days 00:13:46.553062,relu,128,0.1,9.581170764290314e-07,0.8,0.98,0.05241592681253319,-0.3829011842698904,1.0,10,128,medium,64,0.8996611892710048,COMPLETE
16,16,11.994830800000003,2024-04-18 04:49:41.335289,2024-04-18 05:07:26.372802,0 days 00:17:45.037513,relu,16,0.4,0.0013376189396391385,0.92,0.995,0.0003759530308754951,-3.5617352838242136,0.9,5,512,tiny,16,0.4857505915586092,PRUNED
17,17,3.2330886,2024-04-18 04:50:15.127925,2024-04-18 05:36:50.341555,0 days 00:46:35.213630,relu,64,0.3,0.009459414070933793,0.9,0.9,0.00013153322726661016,-1.043552791816505,0.9,10,8,tiny,16,0.7235525835109231,PRUNED
18,18,24.5136865,2024-04-18 04:51:14.423324,2024-04-18 05:02:11.855656,0 days 00:10:57.432332,relu,256,0.1,0.07313304704422446,1.0,0.9,0.0010910502648443815,-0.015327361225672576,0.9,10,2048,tiny,-1,0.8156259080807896,COMPLETE
19,19,49.23002230000001,2024-04-18 04:52:01.568358,2024-04-18 05:02:06.792172,0 days 00:10:05.223814,tanh,512,0.3,1.3910695977489152e-08,0.99,0.995,0.00042315224826192365,-0.3880239256918401,0.3,5,256,tiny,128,0.7423874597449287,COMPLETE
20,20,22.9660031,2024-04-18 05:00:48.117586,2024-04-18 05:28:01.216351,0 days 00:27:13.098765,relu,256,0.4,0.017362428605864382,0.99,0.999,0.01227987351954501,0.9986930819777977,0.9,10,16,tiny,16,0.8462760595119462,PRUNED
21,21,51.716859299999996,2024-04-18 05:01:33.445367,2024-04-18 05:22:26.304401,0 days 00:20:52.859034,tanh,32,0.3,6.837327383466903e-05,0.95,0.9,9.295159928702683e-05,-1.9161537729598357,1.0,10,128,medium,256,0.7826735391323587,COMPLETE
22,22,48.280311499999996,2024-04-18 05:02:06.794167,2024-04-18 05:28:59.044815,0 days 00:26:52.250648,tanh,32,0.3,0.0001067018014672389,0.95,0.9,0.000979840780726025,-1.0425139809383959,1.0,10,16,tiny,256,0.8344002945771051,PRUNED
23,23,10.090081900000001,2024-04-18 05:02:11.856653,2024-04-18 05:24:29.874570,0 days 00:22:18.017917,relu,64,0.4,1.9766887371574313e-05,0.9,0.9,0.0009171950306809129,0.39019783879549547,0.9,10,32,medium,64,0.6979497411826541,PRUNED
24,24,-18.312858,2024-04-18 05:02:22.504237,2024-04-18 05:19:12.364112,0 days 00:16:49.859875,tanh,32,0.3,2.2222409010530375e-05,0.98,0.9,4.569156491041839e-05,-3.19108110159486,1.0,10,256,tiny,256,0.838836788553911,PRUNED
25,25,43.3839466,2024-04-18 05:07:26.373799,2024-04-18 05:16:21.082250,0 days 00:08:54.708451,tanh,256,0.3,0.006235171633536234,0.98,0.9,0.0005600415120768907,-1.799114722648349,1.0,5,256,tiny,256,0.9670980981576105,PRUNED
26,26,59.0714531,2024-04-18 05:11:33.095902,2024-04-18 05:21:20.456528,0 days 00:09:47.360626,relu,256,0.4,4.5922896872011376e-05,0.9,0.98,0.00026185421781019247,0.8891985553872279,0.9,10,256,tiny,16,0.6960970658153214,COMPLETE
27,27,,2024-04-18 05:16:21.083247,2024-04-18 05:18:38.774955,0 days 00:02:17.691708,relu,256,0.4,2.1104246368455313e-05,0.9,0.999,0.7312322311869403,0.7947877901050293,0.9,10,128,tiny,256,0.6943615239213771,PRUNED
28,28,40.0779492,2024-04-18 05:18:38.776949,2024-04-18 05:37:41.699510,0 days 00:19:02.922561,tanh,32,0.3,0.007764023061743565,0.95,0.9,2.9574628790319917e-05,-3.845163183542899,0.5,10,256,tiny,16,0.6969583392436285,PRUNED
29,29,75.8742087,2024-04-18 05:19:12.365109,2024-04-18 05:30:30.897560,0 days 00:11:18.532451,relu,16,0.2,0.005954572953068364,0.9,0.98,0.021123563708996616,-0.12239248671706449,0.6,1,128,tiny,128,0.8076950652290756,COMPLETE
30,30,94.7023624,2024-04-18 05:21:20.457525,2024-04-18 05:32:02.056537,0 days 00:10:41.599012,tanh,256,0.4,0.00022055418328324123,1.0,0.9,0.015019833902498933,0.5424854921797733,0.8,10,512,tiny,8,0.9946930935398364,COMPLETE
31,31,54.74417900000001,2024-04-18 05:22:26.306396,2024-04-18 05:33:04.619371,0 days 00:10:38.312975,relu,256,0.2,0.01581875713280153,0.9,0.9,0.001120821768885936,0.28394771188539014,2.0,1,1024,medium,16,0.9263857657024891,COMPLETE
