rl-A1G0O2R1T1,10500.68495977097
rl-A1G0O2R1T1-1,10646.415477039756
rl-A1G0O2R1T1-2,10877.597572325794
rl-A1G0O231R22T1,10837.861044209918
rl-A1G0O231R22T1-1,10456.02142154186
rl-A1G0O231R22T1-2,10109.714636971798
rl-A31G0O231R1T1002,10964.099579981317
rl-A31G0O231R1T1002-1,10966.0783761066
rl-A31G0O231R1T1002-2,10436.403136886747
rl-A21G0O3R1T3,10522.311832568055
rl-A21G0O3R1T3-1,10581.193581644462
rl-A21G0O3R1T3-2,10583.819495416443
rl-A25G0O3R1T3,10533.55910314269
rl-A25G0O3R1T3-1,10598.81630423756
rl-A25G0O3R1T3-2,10516.85396940693
MILP,12710.29947713649
rl-greedy,10516.85396940693
