,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
30,30,134.048961,2024-04-17 13:35:31.779834,2024-04-17 15:21:44.110562,0 days 01:46:12.330728,1024,1000000,0.999,0.0009127068468344573,1000,-2.0161372348246345,small,0.01,4,COMPLETE
31,31,148.30793260000002,2024-04-17 14:03:59.801890,2024-04-17 14:47:42.616935,0 days 00:43:42.815045,16,1000000,0.9999,0.02424958274478918,10000,-0.6139221686545864,small,0.005,128,COMPLETE
32,32,,2024-04-17 14:14:58.382824,2024-04-17 14:16:04.022576,0 days 00:01:05.639752,2048,1000000,0.999,0.27260627586823843,10000,-1.8393873044416826,small,0.005,128,PRUNED
33,33,97.1306073,2024-04-17 14:16:04.023573,2024-04-17 16:36:32.225375,0 days 02:20:28.201802,1024,1000000,0.9999,0.025865232133720023,1000,-1.0927146195729585,big,0.01,4,PRUNED
34,34,101.21176820000001,2024-04-17 14:19:32.581424,2024-04-17 15:40:45.102335,0 days 01:21:12.520911,1024,1000000,0.98,0.0012915547919214857,10000,-0.820894438314117,small,0.005,64,PRUNED
35,35,65.9264857,2024-04-17 14:26:23.762585,2024-04-17 16:02:27.252262,0 days 01:36:03.489677,1024,1000000,0.9999,0.0012660820470471903,1000,-2.7116287905652534,small,0.08,64,PRUNED
36,36,,2024-04-17 14:47:42.617932,2024-04-17 15:12:17.447244,0 days 00:24:34.829312,1024,1000000,0.995,0.0444935142322406,1000,-1.933904125892735,small,0.01,64,PRUNED
37,37,100.85523270000002,2024-04-17 14:56:46.487419,2024-04-17 16:26:24.404658,0 days 01:29:37.917239,1024,1000000,0.999,0.00022463831442995631,1000,-1.686580158034807,small,0.02,64,PRUNED
38,38,66.6685815,2024-04-17 15:01:49.970420,2024-04-17 17:10:21.732741,0 days 02:08:31.762321,1024,1000000,0.999,0.003067278179134669,1000,-2.1752378482138526,big,0.01,64,PRUNED
39,39,87.769695,2024-04-17 15:12:17.448242,2024-04-17 15:44:51.170027,0 days 00:32:33.721785,16,1000000,0.9999,0.0077002304524582685,10000,-1.1877127416597533,small,0.02,128,PRUNED
40,40,171.9771597,2024-04-17 15:21:44.111558,2024-04-17 16:21:07.327723,0 days 00:59:23.216165,16,1000000,0.9999,0.009248304976227887,10000,0.019126259445211735,medium,0.005,4,COMPLETE
41,41,106.17267050000001,2024-04-17 15:40:25.626428,2024-04-17 16:11:31.485206,0 days 00:31:05.858778,16,1000000,0.95,0.001013647002361924,10000,-2.189752048531965,small,0.005,128,PRUNED
42,42,127.85242770000002,2024-04-17 15:40:45.103332,2024-04-17 16:44:26.596274,0 days 01:03:41.492942,16,1000000,0.9999,0.004924070995675225,10000,0.07602061201171895,big,0.005,128,COMPLETE
43,43,77.3624889,2024-04-17 15:44:51.170027,2024-04-17 17:11:08.689497,0 days 01:26:17.519470,1024,1000000,0.999,0.00042122916279837224,1000,-2.2727910562804214,small,0.01,128,PRUNED
44,44,113.38055790000001,2024-04-17 16:02:27.254257,2024-04-17 17:27:15.401220,0 days 01:24:48.146963,1024,10000,0.9999,0.0002344587365160811,1000,-1.5333718128984273,small,0.01,4,PRUNED
45,45,120.92028580000002,2024-04-17 16:11:31.485206,2024-04-17 17:20:54.158061,0 days 01:09:22.672855,1024,1000000,0.9999,0.02631843094573114,10000,-3.3571243538046325,small,0.01,4,COMPLETE
46,46,117.38261560000001,2024-04-17 16:21:07.329717,2024-04-17 17:41:50.467613,0 days 01:20:43.137896,1024,10000,0.999,0.003996361924588503,1000,-1.3900959955977101,small,0.01,4,PRUNED
47,47,108.9130036,2024-04-17 16:26:24.404658,2024-04-17 17:24:13.725437,0 days 00:57:49.320779,16,100000,0.9999,0.004995834035302017,10000,0.5159477547258102,medium,0.005,4,PRUNED
48,48,80.80976539999999,2024-04-17 16:36:32.226372,2024-04-17 17:42:52.704145,0 days 01:06:20.477773,256,1000000,0.9999,0.0011421468361390975,10000,0.9805523631346689,medium,0.005,512,PRUNED
49,49,133.8754452,2024-04-17 16:44:26.597271,2024-04-17 18:00:58.937733,0 days 01:16:32.340462,1024,1000000,0.999,0.00017507584780561294,1000,-1.9199420181993674,small,0.01,4,COMPLETE
50,50,107.32069099999998,2024-04-17 17:10:21.733739,2024-04-17 18:08:05.851928,0 days 00:57:44.118189,128,1000000,0.999,0.00046546027880003845,1000,-2.0900996844843394,small,0.01,4,PRUNED
51,51,103.75254539999999,2024-04-17 17:11:08.690495,2024-04-17 18:05:20.046330,0 days 00:54:11.355835,16,1000000,0.95,0.0012608522434165506,10000,0.3540836470886734,medium,0.005,4,PRUNED
52,52,,2024-04-17 17:20:54.159058,2024-04-17 17:21:42.644400,0 days 00:00:48.485342,128,1000000,0.9999,0.9304647503690405,10000,0.7984196960002632,medium,0.005,4,PRUNED
53,53,91.8873882,2024-04-17 17:21:42.645397,2024-04-17 18:16:02.556963,0 days 00:54:19.911566,16,1000000,0.999,0.005614189797749299,10000,0.3366226165887362,medium,0.005,4,PRUNED
54,54,95.51341190000001,2024-04-17 17:24:13.726435,2024-04-17 18:12:42.079445,0 days 00:48:28.353010,256,1000000,0.999,0.0033511858552221436,10000,-1.8782802258652709,small,0.001,1,PRUNED
55,55,,2024-04-17 17:27:15.402217,2024-04-17 17:27:52.857034,0 days 00:00:37.454817,16,100000,0.9999,0.11149241453345156,0,0.24266537542296052,small,0.005,128,PRUNED
56,56,126.50956249999999,2024-04-17 17:27:52.859029,2024-04-17 18:21:31.072831,0 days 00:53:38.213802,512,1000000,0.999,0.001157419388369131,10000,-1.0548053138326527,small,0.005,128,COMPLETE
57,57,5.1338132000000005,2024-04-17 17:41:50.468610,2024-04-17 18:53:30.321479,0 days 01:11:39.852869,16,1000000,0.9999,0.031660979503283886,0,-0.606711778524584,medium,0.01,4,PRUNED
58,58,98.6846586,2024-04-17 17:42:52.706140,2024-04-17 19:00:31.939398,0 days 01:17:39.233258,2048,1000000,0.99,0.036952455772222476,20000,-1.4293065104211848,medium,0.01,32,PRUNED
59,59,85.25240140000001,2024-04-17 18:00:58.938731,2024-04-17 18:58:06.679932,0 days 00:57:07.741201,512,1000000,0.999,0.0018897735377966518,10000,-1.4754247562401472,small,0.005,128,PRUNED
60,60,74.23398139999999,2024-04-17 18:05:20.048324,2024-04-17 19:02:31.624270,0 days 00:57:11.575946,512,1000000,0.999,8.714550358455109e-05,10000,-1.3332206573508447,small,0.005,512,PRUNED
61,61,,2024-04-17 18:08:05.852925,2024-04-17 18:08:51.562931,0 days 00:00:45.710006,16,1000000,0.98,0.7935506046985767,10000,0.5241259707774004,small,0.005,512,PRUNED
62,62,145.2523554,2024-04-17 18:08:51.563928,2024-04-17 18:57:31.105538,0 days 00:48:39.541610,16,1000000,0.9,0.016541526383017455,1000,-0.13280400713636448,small,0.005,8,COMPLETE
63,63,110.96773619999999,2024-04-17 18:12:42.080442,2024-04-17 19:26:54.182951,0 days 01:14:12.102509,512,100000,0.999,0.005400171697905497,10000,-2.965303421474422,big,0.005,128,PRUNED
64,64,122.8126116,2024-04-17 18:16:02.557960,2024-04-17 18:44:42.766576,0 days 00:28:40.208616,16,1000000,0.99,0.0001366648502997822,20000,-1.4297811780635667,small,0.01,4,PRUNED
65,65,,2024-04-17 18:21:31.073829,2024-04-17 18:22:21.923817,0 days 00:00:50.849988,16,1000000,0.9999,0.29003214478774947,10000,-1.633436556471862,small,0.005,32,PRUNED
66,66,83.12821410000001,2024-04-17 18:22:21.924814,2024-04-17 19:35:14.103805,0 days 01:12:52.178991,128,1000000,0.9999,0.0009921942181594034,0,-0.3064172470135729,medium,0.01,4,PRUNED
67,67,128.3791484,2024-04-17 18:44:42.767572,2024-04-17 19:26:43.555375,0 days 00:42:00.787803,512,1000000,0.999,0.009955796514772271,20000,-2.1714655304198813,small,0.02,4,COMPLETE
68,68,,2024-04-17 18:53:30.323472,2024-04-17 18:55:44.602408,0 days 00:02:14.278936,512,1000000,0.999,0.11043399856117656,20000,-1.884840297107936,medium,0.001,32,PRUNED
69,69,120.26873359999999,2024-04-17 18:55:44.603407,2024-04-17 19:35:53.827781,0 days 00:40:09.224374,512,1000000,0.95,0.0038354955151316834,20000,-0.09039602749859776,small,0.01,512,PRUNED
70,70,,2024-04-17 18:57:31.106536,2024-04-17 18:57:41.979821,0 days 00:00:10.873285,16,1000000,0.999,0.5869441582035807,1000,-0.3389971065574182,small,0.005,8,PRUNED
71,71,101.23861779999999,2024-04-17 18:57:41.981815,2024-04-17 19:57:21.574164,0 days 00:59:39.592349,256,1000000,0.9999,0.011882980437413431,1000,-1.3404421280756793,small,0.01,512,PRUNED
72,72,144.3728221,2024-04-17 18:58:06.680930,2024-04-17 19:51:12.508607,0 days 00:53:05.827677,16,1000000,0.9,0.0027251612652875634,1000,0.07543365040933753,small,0.001,8,COMPLETE
73,73,97.7441369,2024-04-17 19:00:31.940396,2024-04-17 19:53:48.262004,0 days 00:53:16.321608,16,1000000,0.9,0.005845654221538613,1000,-0.4357421001447165,small,0.005,8,PRUNED
74,74,112.7576508,2024-04-17 19:02:31.625268,2024-04-17 19:59:26.624509,0 days 00:56:54.999241,64,1000000,0.9,0.009022272118255709,1000,0.18441817208551303,small,0.005,8,PRUNED
75,75,149.54126069999998,2024-04-17 19:26:43.557370,2024-04-17 20:20:25.756556,0 days 00:53:42.199186,16,1000000,0.9,0.004184365486514797,1000,-0.1906178865625913,small,0.001,8,COMPLETE
76,76,95.65950219999999,2024-04-17 19:26:54.183946,2024-04-17 20:19:52.927268,0 days 00:52:58.743322,16,10000,0.9,0.0003369534163229183,1000,-1.4901891787022234,small,0.005,8,PRUNED
77,77,137.8300499,2024-04-17 19:35:14.104802,2024-04-17 20:30:42.254753,0 days 00:55:28.149951,16,1000000,0.9,0.015716910774327797,1000,-0.9829991057211398,small,0.005,512,COMPLETE
78,78,129.9998721,2024-04-17 19:35:53.828778,2024-04-17 20:30:06.263023,0 days 00:54:12.434245,16,10000,0.9,0.002003761312328534,1000,0.055485857039733105,small,0.005,8,COMPLETE
79,79,153.21187360000002,2024-04-17 19:51:12.509604,2024-04-17 20:47:23.224396,0 days 00:56:10.714792,16,1000000,0.9,0.011024584451460616,0,0.06749523236707346,small,0.001,8,COMPLETE
80,80,158.7217446,2024-04-17 19:53:48.263001,2024-04-17 20:48:32.761402,0 days 00:54:44.498401,16,1000000,0.95,0.003114563156379538,1000,-0.0252420881250682,small,0.001,1,COMPLETE
81,81,114.8167913,2024-04-17 19:57:21.575161,2024-04-17 20:52:10.732806,0 days 00:54:49.157645,16,10000,0.9,0.0011573422550865122,1000,-0.8297176112994058,small,0.001,1,PRUNED
82,82,65.4476567,2024-04-17 19:59:26.625507,2024-04-17 20:54:36.117957,0 days 00:55:09.492450,16,10000,0.99,0.005681685592676153,1000,0.5509383809832191,small,0.02,8,PRUNED
83,83,125.83896949999999,2024-04-17 20:19:52.928266,2024-04-17 20:54:31.990995,0 days 00:34:39.062729,16,1000000,0.9,0.00024348159886171638,20000,0.41310242877449704,small,0.001,8,PRUNED
84,84,78.7968036,2024-04-17 20:20:25.757553,2024-04-17 22:19:56.024250,0 days 01:59:30.266697,2048,1000000,0.9,0.0007204039017082438,1000,0.04196681976204686,big,0.001,8,PRUNED
85,85,120.4004328,2024-04-17 20:30:06.265017,2024-04-17 21:25:16.646081,0 days 00:55:10.381064,16,1000000,0.9999,0.0016794175547482592,1000,0.1671559216104135,small,0.001,16,PRUNED
86,86,107.2289408,2024-04-17 20:30:42.255751,2024-04-17 21:25:30.437193,0 days 00:54:48.181442,16,1000000,0.995,0.00034376303593267954,1000,-0.5966134263278768,small,0.001,8,PRUNED
87,87,135.6549072,2024-04-17 20:47:23.226391,2024-04-17 21:58:09.239622,0 days 01:10:46.013231,512,1000000,0.9,0.0036876571986507504,0,-0.26786573451725154,small,0.001,8,COMPLETE
88,88,153.7360731,2024-04-17 20:48:32.762399,2024-04-17 21:43:49.593216,0 days 00:55:16.830817,16,1000000,0.95,0.003623959358358972,1000,0.13561310539630128,small,0.001,1,COMPLETE
89,89,107.66909039999999,2024-04-17 20:52:10.733803,2024-04-17 21:47:41.152333,0 days 00:55:30.418530,16,1000000,0.95,0.004923810198965338,1000,-0.6982099031030072,small,0.001,1,PRUNED
90,90,6.620648900000001,2024-04-17 20:54:31.992990,2024-04-17 21:50:34.877659,0 days 00:56:02.884669,16,1000000,0.95,0.02603344037713368,1000,0.008636178960825365,small,0.001,1,PRUNED
91,91,125.45241150000001,2024-04-17 20:54:36.118954,2024-04-17 21:49:28.719616,0 days 00:54:52.600662,16,1000000,0.95,0.0002559944779199921,1000,-0.14117287101307754,small,0.001,1,PRUNED
92,92,137.1674422,2024-04-17 21:25:16.648076,2024-04-17 22:16:47.653098,0 days 00:51:31.005022,16,1000000,0.95,0.0069261799635574675,1000,-0.2273304257350592,small,0.001,1,COMPLETE
93,93,119.2852991,2024-04-17 21:25:30.438190,2024-04-17 22:18:01.685080,0 days 00:52:31.246890,16,1000000,0.9,0.030529014385831752,0,0.9557635792444675,small,0.001,1,PRUNED
94,94,,2024-04-17 21:43:49.594213,2024-04-17 21:44:19.477664,0 days 00:00:29.883451,16,1000000,0.9,0.16179536515978482,0,0.5892131833221055,small,0.001,8,PRUNED
95,95,94.894354,2024-04-17 21:44:19.479659,2024-04-17 22:28:34.905564,0 days 00:44:15.425905,64,1000000,0.999,0.0021622391590465986,0,0.05023748308663306,small,0.001,8,PRUNED
96,96,107.7113113,2024-04-17 21:47:41.154327,2024-04-17 22:30:58.388510,0 days 00:43:17.234183,512,1000000,0.9,0.0015392789298753929,1000,-1.5905745746998674,small,0.001,256,PRUNED
97,97,,2024-04-17 21:49:28.720613,2024-04-17 21:50:53.711285,0 days 00:01:24.990672,16,1000000,0.9,0.07223799870416724,1000,0.1028625987318998,medium,0.001,8,PRUNED
98,98,13.346346699999998,2024-04-17 21:50:34.878656,2024-04-17 22:28:55.737464,0 days 00:38:20.858808,16,1000000,0.9,0.02289561380583816,1000,-0.5280413940314752,small,0.08,512,PRUNED
99,99,160.05237440000002,2024-04-17 21:50:53.712281,2024-04-17 22:28:51.272068,0 days 00:37:57.559787,16,1000000,0.9,0.002494597933188421,0,-0.10965320182586115,small,0.02,128,COMPLETE
