,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,10.061466300000001,2024-04-16 23:23:09.719870,2024-04-17 01:04:46.620694,0 days 01:41:36.900824,512,100000,0.9999,0.0006403729276850497,1000,-2.94046115591141,medium,0.001,32,COMPLETE
1,1,49.196324600000004,2024-04-16 23:23:09.720869,2024-04-17 00:54:35.364479,0 days 01:31:25.643610,512,1000000,0.9,0.0006683540235215268,10000,-0.9780232766326193,big,0.05,128,COMPLETE
2,2,,2024-04-16 23:23:09.721868,2024-04-16 23:26:43.086578,0 days 00:03:33.364710,512,10000,0.95,0.04059976942000656,1000,-0.4187988854473299,big,0.001,32,PRUNED
3,3,10.376010599999999,2024-04-16 23:23:09.723962,2024-04-17 00:15:41.090669,0 days 00:52:31.366707,256,1000000,0.99,0.09345333580385665,1000,-0.20716654706236248,small,0.05,16,COMPLETE
4,4,28.3223969,2024-04-16 23:23:09.724995,2024-04-17 01:11:49.881573,0 days 01:48:40.156578,1024,100000,0.9999,0.029007839770341725,10000,-2.4476024936205523,big,0.05,64,COMPLETE
5,5,-7.3540687999999985,2024-04-16 23:23:09.726954,2024-04-17 00:56:12.126664,0 days 01:33:02.399710,256,10000,0.98,1.3753992733791854e-05,0,-1.7474028631905618,medium,0.02,16,COMPLETE
6,6,64.2151629,2024-04-16 23:23:09.727951,2024-04-17 00:08:43.239320,0 days 00:45:33.511369,32,1000000,0.995,0.002102576049399133,0,-2.152402629525093,small,0.005,256,COMPLETE
7,7,,2024-04-16 23:23:09.729947,2024-04-16 23:23:36.630982,0 days 00:00:26.901035,256,1000000,0.98,0.7534797816650932,1000,0.19441489660970213,small,0.08,32,PRUNED
8,8,,2024-04-16 23:23:36.631979,2024-04-16 23:24:14.433054,0 days 00:00:37.801075,1024,10000,0.999,0.3361951937955411,1000,0.0005384702339519265,big,0.01,16,PRUNED
9,9,,2024-04-16 23:24:14.434051,2024-04-16 23:25:00.067991,0 days 00:00:45.633940,2048,100000,0.995,0.30713855780060156,1000,-3.760336788473609,medium,0.001,32,PRUNED
10,10,,2024-04-16 23:25:00.068988,2024-04-16 23:26:18.550119,0 days 00:01:18.481131,16,1000000,0.99,0.2812917608229013,20000,-0.24185395391341746,small,0.005,64,PRUNED
11,11,43.098091499999995,2024-04-16 23:26:18.551116,2024-04-17 01:28:03.730033,0 days 02:01:45.178917,1024,100000,0.99,5.7143154287609495e-05,1000,-2.2008581190671963,big,0.08,256,COMPLETE
12,12,49.1006243,2024-04-16 23:26:43.087576,2024-04-17 02:00:52.375752,0 days 02:34:09.288176,2048,1000000,0.95,0.005281435852434702,1000,-2.349155233226175,big,0.02,512,COMPLETE
