,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
27,27,63.45473500000001,2024-04-14 05:59:48.868655,2024-04-14 07:01:15.330653,0 days 01:01:26.461998,128,1000000,0.9999,0.0032330622140154014,1000,0.7588797086348451,small,0.08,512,COMPLETE
28,28,94.1720109,2024-04-14 06:01:13.972024,2024-04-14 07:51:59.145188,0 days 01:50:45.173164,1024,10000,0.9999,0.016883178252892175,1000,-0.0415688737462645,medium,0.08,32,COMPLETE
29,29,62.47033409999999,2024-04-14 06:12:41.779218,2024-04-14 08:12:35.590636,0 days 01:59:53.811418,1024,1000000,0.9,0.0070128232441883645,1000,0.5341232107443499,big,0.08,32,PRUNED
30,30,5.934672700000001,2024-04-14 06:13:11.362112,2024-04-14 08:02:14.159680,0 days 01:49:02.797568,1024,1000000,0.9999,0.003848015691817732,1000,0.327268845621814,medium,0.08,4,PRUNED
31,31,70.9211328,2024-04-14 06:34:48.569275,2024-04-14 07:37:14.052693,0 days 01:02:25.483418,64,1000000,0.99,0.0020356565534738,1000,0.24489019532272305,medium,0.08,32,COMPLETE
32,32,66.31392009999999,2024-04-14 06:42:22.108834,2024-04-14 07:47:27.947577,0 days 01:05:05.838743,32,1000000,0.9999,0.005669149639698378,1000,0.15527618356758394,medium,0.01,32,COMPLETE
33,33,77.6136769,2024-04-14 07:01:15.332649,2024-04-14 07:58:20.740779,0 days 00:57:05.408130,32,1000000,0.99,4.470493962145366e-05,0,-3.4931087034209574,medium,0.005,16,COMPLETE
34,34,-9.253293700000002,2024-04-14 07:15:11.992128,2024-04-14 08:58:06.162093,0 days 01:42:54.169965,1024,1000000,0.9999,0.007664898171190642,1000,-0.2184040929331661,medium,0.08,32,PRUNED
35,35,25.920736599999998,2024-04-14 07:30:33.725986,2024-04-14 09:10:34.908626,0 days 01:40:01.182640,1024,1000000,0.95,0.003208377657534456,1000,-0.2494409681397447,medium,0.08,4,PRUNED
36,36,147.93937590000002,2024-04-14 07:37:14.053690,2024-04-14 08:11:13.758517,0 days 00:33:59.704827,32,1000000,0.9999,0.0001929936694298228,20000,-2.6402351513502644,medium,0.005,64,COMPLETE
37,37,-9.1927697,2024-04-14 07:47:27.948574,2024-04-14 09:27:44.140066,0 days 01:40:16.191492,1024,1000000,0.9999,0.0006980051727184473,1000,0.3022174630595791,medium,0.08,4,PRUNED
38,38,,2024-04-14 07:51:59.146186,2024-04-14 07:52:48.686180,0 days 00:00:49.539994,1024,10000,0.95,0.15104399854251052,1000,-0.7536941052893595,medium,0.08,32,PRUNED
39,39,89.2469657,2024-04-14 07:52:48.687177,2024-04-14 08:38:52.525391,0 days 00:46:03.838214,16,1000000,0.99,8.447175674866137e-05,10000,-3.310750682515753,medium,0.005,64,COMPLETE
40,40,46.4955009,2024-04-14 07:58:20.741776,2024-04-14 08:50:54.309082,0 days 00:52:33.567306,16,1000000,0.99,6.431692406755355e-05,10000,-3.0217471130155187,big,0.005,4,PRUNED
41,41,99.94475,2024-04-14 08:02:14.161675,2024-04-14 08:56:55.511950,0 days 00:54:41.350275,128,1000000,0.99,0.00011137915044254807,10000,-3.7956201169981565,medium,0.005,4,COMPLETE
42,42,61.7611176,2024-04-14 08:11:13.759514,2024-04-14 09:09:12.939874,0 days 00:57:59.180360,1024,1000000,0.95,0.0003636731009746974,20000,-2.581447972826195,medium,0.005,8,PRUNED
43,43,73.6900031,2024-04-14 08:12:35.591633,2024-04-14 08:53:43.001867,0 days 00:41:07.410234,32,1000000,0.9999,0.0004299748755034472,20000,-2.8135693177713583,big,0.005,64,COMPLETE
44,44,42.86388290000001,2024-04-14 08:38:52.527385,2024-04-14 09:55:48.922708,0 days 01:16:56.395323,2048,1000000,0.9999,0.002465695169836676,20000,-2.7785485145530378,medium,0.005,64,PRUNED
45,45,36.66171759999999,2024-04-14 08:50:54.311076,2024-04-14 09:34:49.700883,0 days 00:43:55.389807,128,1000000,0.9,0.00023102476685036294,20000,-2.7600817885114104,medium,0.005,4,PRUNED
46,46,102.19440519999999,2024-04-14 08:53:43.002865,2024-04-14 09:30:06.587144,0 days 00:36:23.584279,32,100000,0.9999,2.9335097160678703e-05,20000,-2.875440806395645,medium,0.01,64,COMPLETE
47,47,65.59918280000001,2024-04-14 08:56:55.512947,2024-04-14 09:53:39.169270,0 days 00:56:43.656323,128,1000000,0.995,0.00013328426875215132,10000,-2.3018064646500935,medium,0.05,1,PRUNED
48,48,70.0081616,2024-04-14 08:58:06.163091,2024-04-14 09:53:30.678016,0 days 00:55:24.514925,128,1000000,0.99,2.6089151860034835e-05,10000,-3.950221942193535,medium,0.001,512,PRUNED
49,49,102.82042750000001,2024-04-14 09:09:12.940872,2024-04-14 10:43:35.542220,0 days 01:34:22.601348,2048,1000000,0.95,5.7639589039730154e-05,10000,-3.669247322340899,medium,0.001,4,COMPLETE
50,50,35.437293,2024-04-14 09:10:34.909624,2024-04-14 10:03:26.135645,0 days 00:52:51.226021,32,100000,0.98,0.0014698021064956462,10000,-3.032972811427002,medium,0.005,4,PRUNED
51,51,87.01707730000001,2024-04-14 09:27:44.141063,2024-04-14 10:18:04.307463,0 days 00:50:20.166400,512,1000000,0.995,0.0008506793631063187,10000,-3.029064385547237,small,0.005,4,COMPLETE
52,52,90.599472,2024-04-14 09:30:06.588141,2024-04-14 10:27:48.079760,0 days 00:57:41.491619,32,100000,0.9999,2.428971424612035e-05,1000,-3.194364275692005,medium,0.01,64,COMPLETE
53,53,88.41995119999999,2024-04-14 09:34:49.701880,2024-04-14 10:11:59.722801,0 days 00:37:10.020921,32,100000,0.9999,7.626070051411037e-05,20000,-3.5259882807637455,medium,0.01,256,COMPLETE
54,54,17.97173220000001,2024-04-14 09:53:30.679014,2024-04-14 10:30:14.624895,0 days 00:36:43.945881,32,100000,0.9,0.00028066481469526006,20000,-1.8820330953528988,medium,0.01,64,PRUNED
55,55,84.10616230000001,2024-04-14 09:53:39.169270,2024-04-14 10:36:32.945451,0 days 00:42:53.776181,32,100000,0.999,0.0009864445912907474,20000,-2.882215454623765,big,0.01,512,COMPLETE
56,56,93.73919020000001,2024-04-14 09:55:48.923706,2024-04-14 10:30:49.305232,0 days 00:35:00.381526,16,1000000,0.9999,3.483078467937797e-05,20000,-1.763440646035317,medium,0.05,128,COMPLETE
57,57,66.90946779999999,2024-04-14 10:03:26.136642,2024-04-14 10:59:31.390728,0 days 00:56:05.254086,32,100000,0.95,2.1540612493348934e-05,1000,-3.895641133989769,medium,0.01,64,PRUNED
58,58,39.0904063,2024-04-14 10:11:59.723798,2024-04-14 11:26:13.934983,0 days 01:14:14.211185,1024,1000000,0.99,0.001731137690624273,10000,-3.7920383392243147,medium,0.05,4,PRUNED
59,59,63.642796299999986,2024-04-14 10:18:04.308460,2024-04-14 11:23:44.607398,0 days 01:05:40.298938,64,1000000,0.98,4.458960722425693e-05,0,-1.0657380497277924,big,0.001,512,PRUNED
60,60,57.665305000000004,2024-04-14 10:27:48.080757,2024-04-14 11:45:59.603428,0 days 01:18:11.522671,256,1000000,0.98,7.90158507501627e-05,1000,-1.223498855353014,medium,0.001,64,PRUNED
61,61,95.1716431,2024-04-14 10:30:14.625892,2024-04-14 11:16:42.063188,0 days 00:46:27.437296,32,1000000,0.99,5.712481473147689e-05,10000,-3.697443869086531,medium,0.08,4,COMPLETE
62,62,71.7709014,2024-04-14 10:30:49.307227,2024-04-14 11:22:28.696028,0 days 00:51:39.388801,128,10000,0.99,7.616490285620946e-05,10000,-2.8820136228568476,medium,0.01,4,PRUNED
63,63,93.4267188,2024-04-14 10:36:32.946448,2024-04-14 11:32:02.506240,0 days 00:55:29.559792,128,100000,0.99,0.0004257644962382385,10000,-3.9518612770087787,medium,0.005,256,COMPLETE
64,64,49.6960842,2024-04-14 10:43:35.544214,2024-04-14 11:28:35.512297,0 days 00:44:59.968083,512,1000000,0.98,1.6149152006345225e-05,10000,0.21974600923103682,small,0.001,512,PRUNED
65,65,58.269312400000004,2024-04-14 10:59:31.391726,2024-04-14 13:12:33.053844,0 days 02:13:01.662118,2048,1000000,0.95,0.0001531943150115141,10000,-3.4735048305187775,medium,0.001,128,PRUNED
66,66,111.75472490000001,2024-04-14 11:16:42.064185,2024-04-14 12:30:02.672451,0 days 01:13:20.608266,64,1000000,0.98,4.7433856812794676e-05,0,-0.4768167429491232,medium,0.001,512,COMPLETE
67,67,-0.11481479999999814,2024-04-14 11:22:28.697025,2024-04-14 14:01:07.126357,0 days 02:38:38.429332,2048,1000000,0.95,0.000284919155352071,10000,-3.410735212002664,medium,0.001,4,PRUNED
68,68,18.0213003,2024-04-14 11:23:44.608395,2024-04-14 12:07:15.036506,0 days 00:43:30.428111,128,1000000,0.95,1.383812486919864e-05,10000,-3.08547043671137,small,0.001,4,PRUNED
69,69,34.0292397,2024-04-14 11:26:13.935980,2024-04-14 14:55:24.069533,0 days 03:29:10.133553,2048,1000000,0.95,2.557197352671392e-05,0,-3.7461379693351917,big,0.001,4,PRUNED
70,70,36.9794899,2024-04-14 11:28:35.514292,2024-04-14 12:59:36.453198,0 days 01:31:00.938906,512,1000000,0.95,7.131000445355174e-05,10000,-3.1929353363982194,medium,0.01,4,PRUNED
71,71,99.8953553,2024-04-14 11:32:02.507238,2024-04-14 14:18:07.812665,0 days 02:46:05.305427,2048,1000000,0.95,4.304434122921278e-05,10000,-3.838872115847919,medium,0.001,4,COMPLETE
72,72,101.8295516,2024-04-14 11:45:59.605424,2024-04-14 12:46:09.112010,0 days 01:00:09.506586,32,1000000,0.99,2.8141376985969226e-05,10000,-2.7250506539825476,medium,0.08,128,COMPLETE
73,73,97.0317909,2024-04-14 12:07:15.037504,2024-04-14 15:10:26.186136,0 days 03:03:11.148632,2048,1000000,0.995,0.00034834812963070174,10000,-3.082906684342897,big,0.001,4,COMPLETE
74,74,93.0391124,2024-04-14 12:30:02.673448,2024-04-14 15:12:31.038092,0 days 02:42:28.364644,2048,1000000,0.95,0.00033698547881277197,10000,-2.9384905030237203,medium,0.001,4,COMPLETE
75,75,-7.807387199999998,2024-04-14 12:46:09.113008,2024-04-14 15:18:32.019561,0 days 02:32:22.906553,2048,1000000,0.95,1.1142511978725338e-05,10000,-3.7618958510604035,medium,0.02,4,PRUNED
76,76,48.1801213,2024-04-14 12:59:36.454195,2024-04-14 15:56:14.361405,0 days 02:56:37.907210,2048,1000000,0.9999,2.9303938509084e-05,1000,-3.550818289693499,medium,0.001,8,PRUNED
77,77,47.924827199999996,2024-04-14 13:12:33.055839,2024-04-14 14:21:23.221558,0 days 01:08:50.165719,32,1000000,0.999,1.143634141963304e-05,10000,-0.8946371328660374,medium,0.01,128,PRUNED
78,78,70.89320769999999,2024-04-14 14:01:07.127356,2024-04-14 15:15:39.238406,0 days 01:14:32.111050,128,1000000,0.98,0.00011142736004003852,10000,-3.2175539486182356,medium,0.005,128,PRUNED
79,79,19.1783636,2024-04-14 14:18:07.813664,2024-04-14 15:33:11.410966,0 days 01:15:03.597302,64,1000000,0.98,0.0005313292581559773,0,0.05651969667398943,medium,0.001,32,PRUNED
80,80,12.443019199999998,2024-04-14 14:21:23.222556,2024-04-14 15:07:55.040202,0 days 00:46:31.817646,32,1000000,0.95,0.0003777256748982386,20000,-2.770620087542677,medium,0.001,64,PRUNED
81,81,48.3972165,2024-04-14 14:55:24.070531,2024-04-14 15:34:06.434481,0 days 00:38:42.363950,64,1000000,0.98,5.9097921293533474e-05,20000,-0.5412002339678986,medium,0.001,512,PRUNED
82,82,46.778448999999995,2024-04-14 15:07:55.040202,2024-04-14 16:20:42.509985,0 days 01:12:47.469783,32,100000,0.99,2.55527834343969e-05,10000,-1.673467976742371,medium,0.08,128,PRUNED
83,83,82.3361221,2024-04-14 15:10:26.187133,2024-04-14 16:55:33.011922,0 days 01:45:06.824789,64,1000000,0.9,0.00010657547307085334,0,-0.04537419930388947,medium,0.001,8,PRUNED
84,84,50.1812796,2024-04-14 15:12:31.040086,2024-04-14 16:51:36.376842,0 days 01:39:05.336756,16,1000000,0.98,5.701228791721354e-05,0,-0.23559947804968923,medium,0.001,8,PRUNED
85,85,37.0524448,2024-04-14 15:15:39.239404,2024-04-14 17:01:59.521322,0 days 01:46:20.281918,64,1000000,0.98,1.1409268861123967e-05,0,-0.3058885784470924,medium,0.001,4,PRUNED
86,86,91.58414250000001,2024-04-14 15:18:32.020559,2024-04-14 17:24:31.972856,0 days 02:05:59.952297,128,1000000,0.98,0.0002547630245211363,0,-0.6931307762873121,medium,0.001,8,COMPLETE
87,87,78.96257940000001,2024-04-14 15:33:11.411963,2024-04-14 18:02:12.487649,0 days 02:29:01.075686,2048,1000000,0.99,8.119748941699843e-05,10000,-1.435522147653517,small,0.08,128,PRUNED
88,88,53.93672989999999,2024-04-14 15:34:06.435478,2024-04-14 19:19:17.392587,0 days 03:45:10.957109,2048,1000000,0.995,7.723635523012699e-05,10000,-3.923297786389818,big,0.001,8,PRUNED
89,89,51.215924799999996,2024-04-14 15:56:14.362402,2024-04-14 17:35:06.032671,0 days 01:38:51.670269,64,1000000,0.99,0.00031947226895278166,10000,-2.3164854730576105,medium,0.08,128,PRUNED
90,90,21.6462933,2024-04-14 16:20:42.510982,2024-04-14 20:46:02.763489,0 days 04:25:20.252507,2048,1000000,0.995,0.0014283584969029654,1000,-3.599487575272706,big,0.001,4,PRUNED
91,91,56.607942300000005,2024-04-14 16:51:36.377840,2024-04-14 20:29:10.982964,0 days 03:37:34.605124,2048,1000000,0.995,0.00014355499418743485,10000,-2.633547419303092,big,0.001,1,PRUNED
92,92,70.0390165,2024-04-14 16:55:33.012920,2024-04-14 20:42:15.167643,0 days 03:46:42.154723,2048,1000000,0.995,5.4801380968249656e-05,10000,-1.9000834661061607,big,0.001,4,PRUNED
93,93,18.5321968,2024-04-14 17:01:59.522320,2024-04-14 18:32:24.206858,0 days 01:30:24.684538,512,1000000,0.99,3.4627470115236255e-05,10000,-2.2368028431448184,small,0.08,128,PRUNED
94,94,91.3157377,2024-04-14 17:24:31.973854,2024-04-14 19:02:12.275746,0 days 01:37:40.301892,128,1000000,0.9999,1.761465037326722e-05,10000,-3.7482259550774795,medium,0.005,4,COMPLETE
95,95,0.5212569,2024-04-14 17:35:06.033667,2024-04-14 20:41:19.629132,0 days 03:06:13.595465,2048,1000000,0.995,1.5120597312540247e-05,10000,-2.5884629677466213,big,0.02,64,PRUNED
96,96,36.51325820000001,2024-04-14 18:02:12.488647,2024-04-14 20:55:00.198657,0 days 02:52:47.710010,2048,1000000,0.995,0.0010401082350874453,10000,-2.8125446734191972,big,0.001,4,PRUNED
97,97,66.99918890000001,2024-04-14 18:32:24.207854,2024-04-14 20:51:11.557539,0 days 02:18:47.349685,256,1000000,0.995,0.0013814037994417645,10000,-3.0859806954114393,big,0.001,4,PRUNED
98,98,35.7994529,2024-04-14 19:02:12.276743,2024-04-14 21:06:07.666986,0 days 02:03:55.390243,2048,1000000,0.9,0.0023696793875230353,10000,-3.1851219948677754,big,0.001,4,PRUNED
99,99,96.5831376,2024-04-14 19:19:17.394582,2024-04-14 20:45:51.104334,0 days 01:26:33.709752,32,1000000,0.9999,0.00034797153321399177,0,-2.671231325050141,medium,0.005,64,COMPLETE
