,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,,2024-04-14 03:18:50.810656,2024-04-14 03:20:18.687655,0 days 00:01:27.876999,32,100000,0.995,0.2086911733216382,1000,-1.361643173220684,big,0.02,1,PRUNED
1,1,,2024-04-14 03:18:50.811625,2024-04-14 03:22:05.880742,0 days 00:03:15.069117,64,1000000,0.99,0.08345165697673292,10000,-0.5947794993851794,big,0.02,16,PRUNED
2,2,15.618749099999999,2024-04-14 03:18:50.813619,2024-04-14 04:01:31.226962,0 days 00:42:40.413343,64,100000,0.95,2.782916932862841e-05,20000,-1.3872102591235644,medium,0.001,128,COMPLETE
3,3,59.4199351,2024-04-14 03:18:50.815614,2024-04-14 03:54:11.038270,0 days 00:35:20.222656,256,10000,0.95,0.002859897574855472,20000,-3.1652975780915518,small,0.01,128,COMPLETE
4,4,54.37777910000001,2024-04-14 03:18:50.816612,2024-04-14 05:06:23.523724,0 days 01:47:32.707112,1024,100000,0.9999,0.001135406757279117,1000,-1.5669556373550177,medium,0.001,256,COMPLETE
5,5,35.74734099999999,2024-04-14 03:18:50.816612,2024-04-14 04:59:17.246421,0 days 01:40:26.429809,1024,10000,0.99,0.00403721567617372,10000,-3.7898182386202386,big,0.005,32,COMPLETE
6,6,72.285427,2024-04-14 03:18:50.819604,2024-04-14 04:18:32.534600,0 days 00:59:41.714996,32,1000000,0.99,0.0035995055159744956,10000,-2.075721032942126,medium,0.001,4,COMPLETE
7,7,15.453636399999999,2024-04-14 03:18:50.821597,2024-04-14 04:38:00.377361,0 days 01:19:09.555764,1024,10000,0.99,0.0016172957742460667,20000,-2.1824527565305187,big,0.05,256,COMPLETE
8,8,109.2421879,2024-04-14 03:20:18.690647,2024-04-14 05:09:10.524717,0 days 01:48:51.834070,1024,1000000,0.9999,0.009896679299511503,1000,0.3696171290134167,medium,0.08,32,COMPLETE
9,9,52.01202020000001,2024-04-14 03:22:05.882738,2024-04-14 03:49:40.626468,0 days 00:27:34.743730,64,10000,0.999,0.00010294737614478336,20000,-2.2647586971541624,small,0.08,16,COMPLETE
10,10,,2024-04-14 03:49:40.628463,2024-04-14 03:49:50.847202,0 days 00:00:10.218739,128,1000000,0.95,0.9328450747820982,1000,0.2107027208378902,medium,0.08,64,PRUNED
11,11,,2024-04-14 03:49:50.862824,2024-04-14 03:50:48.189938,0 days 00:00:57.327114,32,1000000,0.999,0.14937430022789222,10000,-0.3920900258913873,big,0.05,8,PRUNED
12,12,63.4083446,2024-04-14 03:50:48.190936,2024-04-14 04:40:01.677176,0 days 00:49:13.486240,512,10000,0.9999,0.0044430366010572864,10000,0.0623450392854501,small,0.02,64,COMPLETE
13,13,15.7801808,2024-04-14 03:54:11.039268,2024-04-14 04:15:58.330646,0 days 00:21:47.291378,16,10000,0.98,9.789234204566506e-05,20000,0.8123598033388983,small,0.001,1,COMPLETE
14,14,95.8918454,2024-04-14 04:01:31.227959,2024-04-14 04:53:33.296532,0 days 00:52:02.068573,256,1000000,0.98,2.318258993193699e-05,0,-0.9269614258482544,small,0.001,512,COMPLETE
15,15,71.6881495,2024-04-14 04:15:58.331643,2024-04-14 06:01:13.970029,0 days 01:45:15.638386,1024,100000,0.98,0.000162590074813475,1000,-1.9714413315434762,medium,0.05,8,COMPLETE
16,16,39.634155299999996,2024-04-14 04:18:32.535597,2024-04-14 05:30:47.187683,0 days 01:12:14.652086,256,1000000,0.995,1.542546331803722e-05,10000,0.43744219698927456,big,0.05,4,PRUNED
17,17,68.2083974,2024-04-14 04:38:00.379357,2024-04-14 05:28:35.932759,0 days 00:50:35.553402,32,1000000,0.995,0.021147107833959723,10000,-2.826089172691446,medium,0.001,32,COMPLETE
18,18,-4.943648099999997,2024-04-14 04:40:01.678172,2024-04-14 05:56:48.673086,0 days 01:16:46.994914,512,10000,0.9999,0.012084578584572642,10000,-0.46750839177218506,medium,0.02,64,PRUNED
19,19,46.902075999999994,2024-04-14 04:53:33.297529,2024-04-14 05:53:41.633938,0 days 01:00:08.336409,256,1000000,0.98,8.276696669423494e-05,0,-0.9845735983005961,small,0.08,512,PRUNED
20,20,95.1602251,2024-04-14 04:59:17.247419,2024-04-14 05:59:48.867658,0 days 01:00:31.620239,32,1000000,0.99,0.00032348056882463004,10000,-3.349923990770219,medium,0.005,4,COMPLETE
21,21,48.4216269,2024-04-14 05:06:23.524721,2024-04-14 06:12:41.777223,0 days 01:06:18.252502,256,1000000,0.9999,3.1953587761208286e-05,0,-1.3727788594602472,small,0.01,512,PRUNED
22,22,42.543476399999996,2024-04-14 05:09:10.525714,2024-04-14 06:13:11.361115,0 days 01:04:00.835401,32,1000000,0.995,0.00015546223728264688,0,-0.3549382986786407,small,0.001,512,PRUNED
23,23,48.3209118,2024-04-14 05:28:35.933756,2024-04-14 07:15:11.991130,0 days 01:46:36.057374,2048,1000000,0.98,0.0004105779263317247,0,-0.8488165693922973,small,0.05,4,PRUNED
24,24,78.4625737,2024-04-14 05:30:47.188680,2024-04-14 06:42:22.107837,0 days 01:11:34.919157,256,1000000,0.9999,4.764007611084595e-05,0,0.8054706633701705,small,0.001,32,COMPLETE
25,25,46.6315787,2024-04-14 05:53:41.633938,2024-04-14 07:30:33.724988,0 days 01:36:52.091050,512,1000000,0.9999,6.334398934333892e-05,1000,-0.4107134043993588,medium,0.01,32,PRUNED
26,26,26.32290489999999,2024-04-14 05:56:48.674083,2024-04-14 06:34:48.569275,0 days 00:37:59.895192,256,1000000,0.999,1.0639326006965368e-05,20000,-2.7264426056225206,small,0.02,512,PRUNED
